REF_DATE,GEO,Custodial and community admissions,VALUE
2013/2014,Prince Edward Island,Total custodial admissions,779
2013/2014,Prince Edward Island,Sentenced,562
2013/2014,Prince Edward Island,Remand,216
2013/2014,Prince Edward Island,Other custodial statuses,1
2013/2014,Prince Edward Island,Total community admissions,1120
2013/2014,Prince Edward Island,Probation and conditional sentences,931
2013/2014,Prince Edward Island,Probation,912
2013/2014,Prince Edward Island,Conditional sentence,19
2013/2014,Prince Edward Island,Other community programs,189
2013/2014,Prince Edward Island,Unknown community admissions,0
2013/2014,Nova Scotia,Total custodial admissions,5403
2013/2014,Nova Scotia,Sentenced,2053
2013/2014,Nova Scotia,Remand,3093
2013/2014,Nova Scotia,Other custodial statuses,257
2013/2014,Nova Scotia,Total community admissions,4804
2013/2014,Nova Scotia,Probation and conditional sentences,3634
2013/2014,Nova Scotia,Probation,2863
2013/2014,Nova Scotia,Conditional sentence,771
2013/2014,Nova Scotia,Other community programs,1170
2013/2014,Nova Scotia,Unknown community admissions,0
2013/2014,New Brunswick,Total custodial admissions,4799
2013/2014,New Brunswick,Sentenced,2278
2013/2014,New Brunswick,Remand,2054
2013/2014,New Brunswick,Other custodial statuses,467
2013/2014,New Brunswick,Total community admissions,2587
2013/2014,New Brunswick,Probation and conditional sentences,2165
2013/2014,New Brunswick,Probation,1677
2013/2014,New Brunswick,Conditional sentence,488
2013/2014,New Brunswick,Other community programs,422
2013/2014,New Brunswick,Unknown community admissions,0
2013/2014,Quebec,Total custodial admissions,43561
2013/2014,Quebec,Sentenced,9752
2013/2014,Quebec,Remand,30556
2013/2014,Quebec,Other custodial statuses,3253
2013/2014,Quebec,Total community admissions,23381
2013/2014,Quebec,Probation and conditional sentences,12311
2013/2014,Quebec,Probation,9295
2013/2014,Quebec,Conditional sentence,3016
2013/2014,Quebec,Other community programs,11070
2013/2014,Quebec,Unknown community admissions,0
2013/2014,Ontario,Total custodial admissions,80700
2013/2014,Ontario,Sentenced,27724
2013/2014,Ontario,Remand,48328
2013/2014,Ontario,Other custodial statuses,4648
2013/2014,Ontario,Total community admissions,36131
2013/2014,Ontario,Probation and conditional sentences,35772
2013/2014,Ontario,Probation,31501
2013/2014,Ontario,Conditional sentence,4271
2013/2014,Ontario,Other community programs,359
2013/2014,Ontario,Unknown community admissions,0
2013/2014,Manitoba,Total custodial admissions,27082
2013/2014,Manitoba,Sentenced,6316
2013/2014,Manitoba,Remand,13123
2013/2014,Manitoba,Other custodial statuses,7643
2013/2014,Manitoba,Total community admissions,11425
2013/2014,Manitoba,Probation and conditional sentences,9362
2013/2014,Manitoba,Probation,8166
2013/2014,Manitoba,Conditional sentence,1196
2013/2014,Manitoba,Other community programs,2063
2013/2014,Manitoba,Unknown community admissions,0
2013/2014,Saskatchewan,Total custodial admissions,11677
2013/2014,Saskatchewan,Sentenced,4501
2013/2014,Saskatchewan,Remand,6862
2013/2014,Saskatchewan,Other custodial statuses,314
2013/2014,Saskatchewan,Total community admissions,9966
2013/2014,Saskatchewan,Probation and conditional sentences,5660
2013/2014,Saskatchewan,Probation,4113
2013/2014,Saskatchewan,Conditional sentence,1547
2013/2014,Saskatchewan,Other community programs,4306
2013/2014,Saskatchewan,Unknown community admissions,0
2013/2014,Alberta,Total custodial admissions,
2013/2014,Alberta,Sentenced,
2013/2014,Alberta,Remand,
2013/2014,Alberta,Other custodial statuses,
2013/2014,Alberta,Total community admissions,
2013/2014,Alberta,Probation and conditional sentences,
2013/2014,Alberta,Probation,
2013/2014,Alberta,Conditional sentence,
2013/2014,Alberta,Other community programs,
2013/2014,Alberta,Unknown community admissions,
2013/2014,British Columbia,Total custodial admissions,22448
2013/2014,British Columbia,Sentenced,9010
2013/2014,British Columbia,Remand,12155
2013/2014,British Columbia,Other custodial statuses,1283
2013/2014,British Columbia,Total community admissions,31044
2013/2014,British Columbia,Probation and conditional sentences,12107
2013/2014,British Columbia,Probation,9447
2013/2014,British Columbia,Conditional sentence,2660
2013/2014,British Columbia,Other community programs,18937
2013/2014,British Columbia,Unknown community admissions,0
2013/2014,Yukon,Total custodial admissions,735
2013/2014,Yukon,Sentenced,240
2013/2014,Yukon,Remand,475
2013/2014,Yukon,Other custodial statuses,20
2013/2014,Yukon,Total community admissions,1137
2013/2014,Yukon,Probation and conditional sentences,410
2013/2014,Yukon,Probation,322
2013/2014,Yukon,Conditional sentence,88
2013/2014,Yukon,Other community programs,727
2013/2014,Yukon,Unknown community admissions,0
2013/2014,Northwest Territories,Total custodial admissions,981
2013/2014,Northwest Territories,Sentenced,522
2013/2014,Northwest Territories,Remand,459
2013/2014,Northwest Territories,Other custodial statuses,
2013/2014,Northwest Territories,Total community admissions,441
2013/2014,Northwest Territories,Probation and conditional sentences,398
2013/2014,Northwest Territories,Probation,342
2013/2014,Northwest Territories,Conditional sentence,56
2013/2014,Northwest Territories,Other community programs,43
2013/2014,Northwest Territories,Unknown community admissions,0
2013/2014,Nunavut,Total custodial admissions,1033
2013/2014,Nunavut,Sentenced,561
2013/2014,Nunavut,Remand,472
2013/2014,Nunavut,Total community admissions,951
2013/2014,Nunavut,Probation and conditional sentences,428
2013/2014,Nunavut,Probation,353
2013/2014,Nunavut,Conditional sentence,75
2013/2014,Nunavut,Other community programs,519
2013/2014,Nunavut,Unknown community admissions,4
2014/2015,All Provinces and territories,Total custodial admissions,197454
2014/2015,All Provinces and territories,Sentenced,62279
2014/2015,All Provinces and territories,Remand,117211
2014/2015,All Provinces and territories,Other custodial statuses,17964
2014/2015,All Provinces and territories,Total community admissions,119487
2014/2015,All Provinces and territories,Probation and conditional sentences,78659
2014/2015,All Provinces and territories,Probation,66128
2014/2015,All Provinces and territories,Conditional sentence,12531
2014/2015,All Provinces and territories,Other community programs,40825
2014/2015,All Provinces and territories,Unknown community admissions,3
2014/2015,Newfoundland and Labrador,Total custodial admissions,1981
2014/2015,Newfoundland and Labrador,Sentenced,1131
2014/2015,Newfoundland and Labrador,Remand,764
2014/2015,Newfoundland and Labrador,Other custodial statuses,86
2014/2015,Newfoundland and Labrador,Total community admissions,1850
2014/2015,Newfoundland and Labrador,Probation and conditional sentences,1850
2014/2015,Newfoundland and Labrador,Probation,1392
2014/2015,Newfoundland and Labrador,Conditional sentence,458
2014/2015,Newfoundland and Labrador,Other community programs,0
2014/2015,Newfoundland and Labrador,Unknown community admissions,0
2014/2015,Prince Edward Island,Total custodial admissions,754
2014/2015,Prince Edward Island,Sentenced,547
2014/2015,Prince Edward Island,Remand,207
2014/2015,Prince Edward Island,Other custodial statuses,0
2014/2015,Prince Edward Island,Total community admissions,1041
2014/2015,Prince Edward Island,Probation and conditional sentences,874
2014/2015,Prince Edward Island,Probation,854
2014/2015,Prince Edward Island,Conditional sentence,20
2014/2015,Prince Edward Island,Other community programs,167
2014/2015,Prince Edward Island,Unknown community admissions,0
2014/2015,Nova Scotia,Total custodial admissions,5079
2014/2015,Nova Scotia,Sentenced,1837
2014/2015,Nova Scotia,Remand,2995
2014/2015,Nova Scotia,Other custodial statuses,247
2014/2015,Nova Scotia,Total community admissions,4628
2014/2015,Nova Scotia,Probation and conditional sentences,3332
2014/2015,Nova Scotia,Probation,2687
2014/2015,Nova Scotia,Conditional sentence,645
2014/2015,Nova Scotia,Other community programs,1296
2014/2015,Nova Scotia,Unknown community admissions,0
2014/2015,New Brunswick,Total custodial admissions,4736
2014/2015,New Brunswick,Sentenced,2306
2014/2015,New Brunswick,Remand,1987
2014/2015,New Brunswick,Other custodial statuses,443
2014/2015,New Brunswick,Total community admissions,2399
2014/2015,New Brunswick,Probation and conditional sentences,2088
2014/2015,New Brunswick,Probation,1588
2014/2015,New Brunswick,Conditional sentence,500
2014/2015,New Brunswick,Other community programs,311
2014/2015,New Brunswick,Unknown community admissions,0
2014/2015,Quebec,Total custodial admissions,43843
2014/2015,Quebec,Sentenced,10290
2014/2015,Quebec,Remand,30106
2014/2015,Quebec,Other custodial statuses,3447
2014/2015,Quebec,Total community admissions,23361
2014/2015,Quebec,Probation and conditional sentences,11625
2014/2015,Quebec,Probation,9168
2014/2015,Quebec,Conditional sentence,2457
2014/2015,Quebec,Other community programs,11736
2014/2015,Quebec,Unknown community admissions,0
2014/2015,Ontario,Total custodial admissions,75657
2014/2015,Ontario,Sentenced,24845
2014/2015,Ontario,Remand,46259
2014/2015,Ontario,Other custodial statuses,4553
2014/2015,Ontario,Total community admissions,32379
2014/2015,Ontario,Probation and conditional sentences,31999
2014/2015,Ontario,Probation,28455
2014/2015,Ontario,Conditional sentence,3544
2014/2015,Ontario,Other community programs,380
2014/2015,Ontario,Unknown community admissions,0
2014/2015,Manitoba,Total custodial admissions,26404
2014/2015,Manitoba,Sentenced,6229
2014/2015,Manitoba,Remand,12717
2014/2015,Manitoba,Other custodial statuses,7458
2014/2015,Manitoba,Total community admissions,10850
2014/2015,Manitoba,Probation and conditional sentences,9000
2014/2015,Manitoba,Probation,8023
2014/2015,Manitoba,Conditional sentence,977
2014/2015,Manitoba,Other community programs,1850
2014/2015,Manitoba,Unknown community admissions,0
2014/2015,Saskatchewan,Total custodial admissions,12193
2014/2015,Saskatchewan,Sentenced,4401
2014/2015,Saskatchewan,Remand,7476
2014/2015,Saskatchewan,Other custodial statuses,316
2014/2015,Saskatchewan,Total community admissions,10587
2014/2015,Saskatchewan,Probation and conditional sentences,5956
2014/2015,Saskatchewan,Probation,4408
2014/2015,Saskatchewan,Conditional sentence,1548
2014/2015,Saskatchewan,Other community programs,4631
2014/2015,Saskatchewan,Unknown community admissions,0
2014/2015,Alberta,Total custodial admissions,
2014/2015,Alberta,Sentenced,
2014/2015,Alberta,Remand,
2014/2015,Alberta,Other custodial statuses,
2014/2015,Alberta,Total community admissions,
2014/2015,Alberta,Probation and conditional sentences,
2014/2015,Alberta,Probation,
2014/2015,Alberta,Conditional sentence,
2014/2015,Alberta,Other community programs,
2014/2015,Alberta,Unknown community admissions,
2014/2015,British Columbia,Total custodial admissions,24238
2014/2015,British Columbia,Sentenced,9546
2014/2015,British Columbia,Remand,13290
2014/2015,British Columbia,Other custodial statuses,1402
2014/2015,British Columbia,Total community admissions,30158
2014/2015,British Columbia,Probation and conditional sentences,11050
2014/2015,British Columbia,Probation,8808
2014/2015,British Columbia,Conditional sentence,2242
2014/2015,British Columbia,Other community programs,19108
2014/2015,British Columbia,Unknown community admissions,0
2014/2015,Yukon,Total custodial admissions,691
2014/2015,Yukon,Sentenced,256
2014/2015,Yukon,Remand,423
2014/2015,Yukon,Other custodial statuses,12
2014/2015,Yukon,Total community admissions,994
2014/2015,Yukon,Probation and conditional sentences,353
2014/2015,Yukon,Probation,288
2014/2015,Yukon,Conditional sentence,65
2014/2015,Yukon,Other community programs,641
2014/2015,Yukon,Unknown community admissions,0
2014/2015,Northwest Territories,Total custodial admissions,814
2014/2015,Northwest Territories,Sentenced,374
2014/2015,Northwest Territories,Remand,440
2014/2015,Northwest Territories,Other custodial statuses,
2014/2015,Northwest Territories,Total community admissions,431
2014/2015,Northwest Territories,Probation and conditional sentences,347
2014/2015,Northwest Territories,Probation,312
2014/2015,Northwest Territories,Conditional sentence,35
2014/2015,Northwest Territories,Other community programs,84
2014/2015,Northwest Territories,Unknown community admissions,0
2014/2015,Nunavut,Total custodial admissions,1064
2014/2015,Nunavut,Sentenced,517
2014/2015,Nunavut,Remand,547
2014/2015,Nunavut,Total community admissions,809
2014/2015,Nunavut,Probation and conditional sentences,185
2014/2015,Nunavut,Probation,145
2014/2015,Nunavut,Conditional sentence,40
2014/2015,Nunavut,Other community programs,621
2014/2015,Nunavut,Unknown community admissions,3
2015/2016,All Provinces and territories,Total custodial admissions,201189
2015/2016,All Provinces and territories,Sentenced,62771
2015/2016,All Provinces and territories,Remand,119625
2015/2016,All Provinces and territories,Other custodial statuses,18793
2015/2016,All Provinces and territories,Total community admissions,116885
2015/2016,All Provinces and territories,Probation and conditional sentences,76987
2015/2016,All Provinces and territories,Probation,65782
2015/2016,All Provinces and territories,Conditional sentence,11205
2015/2016,All Provinces and territories,Other community programs,39897
2015/2016,All Provinces and territories,Unknown community admissions,1
2015/2016,Newfoundland and Labrador,Total custodial admissions,2030
2015/2016,Newfoundland and Labrador,Sentenced,1038
2015/2016,Newfoundland and Labrador,Remand,879
2015/2016,Newfoundland and Labrador,Other custodial statuses,113
2015/2016,Newfoundland and Labrador,Total community admissions,1755
2015/2016,Newfoundland and Labrador,Probation and conditional sentences,1755
2015/2016,Newfoundland and Labrador,Probation,1393
2015/2016,Newfoundland and Labrador,Conditional sentence,362
2015/2016,Newfoundland and Labrador,Other community programs,0
2015/2016,Newfoundland and Labrador,Unknown community admissions,0
2015/2016,Prince Edward Island,Total custodial admissions,664
2015/2016,Prince Edward Island,Sentenced,511
2015/2016,Prince Edward Island,Remand,153
2015/2016,Prince Edward Island,Other custodial statuses,0
2015/2016,Prince Edward Island,Total community admissions,912
2015/2016,Prince Edward Island,Probation and conditional sentences,726
2015/2016,Prince Edward Island,Probation,708
2015/2016,Prince Edward Island,Conditional sentence,18
2015/2016,Prince Edward Island,Other community programs,186
2015/2016,Prince Edward Island,Unknown community admissions,0
2015/2016,Nova Scotia,Total custodial admissions,5023
2015/2016,Nova Scotia,Sentenced,1838
2015/2016,Nova Scotia,Remand,2944
2015/2016,Nova Scotia,Other custodial statuses,241
2015/2016,Nova Scotia,Total community admissions,4638
2015/2016,Nova Scotia,Probation and conditional sentences,3421
2015/2016,Nova Scotia,Probation,2762
2015/2016,Nova Scotia,Conditional sentence,659
2015/2016,Nova Scotia,Other community programs,1217
2015/2016,Nova Scotia,Unknown community admissions,0
2015/2016,New Brunswick,Total custodial admissions,5046
2015/2016,New Brunswick,Sentenced,2392
2015/2016,New Brunswick,Remand,2119
2015/2016,New Brunswick,Other custodial statuses,535
2015/2016,New Brunswick,Total community admissions,2336
2015/2016,New Brunswick,Probation and conditional sentences,2073
2015/2016,New Brunswick,Probation,1566
2015/2016,New Brunswick,Conditional sentence,507
2015/2016,New Brunswick,Other community programs,263
2015/2016,New Brunswick,Unknown community admissions,0
2015/2016,Quebec,Total custodial admissions,43165
2015/2016,Quebec,Sentenced,10469
2015/2016,Quebec,Remand,28972
2015/2016,Quebec,Other custodial statuses,3724
2015/2016,Quebec,Total community admissions,22697
2015/2016,Quebec,Probation and conditional sentences,11034
2015/2016,Quebec,Probation,9141
2015/2016,Quebec,Conditional sentence,1893
2015/2016,Quebec,Other community programs,11663
2015/2016,Quebec,Unknown community admissions,0
2015/2016,Ontario,Total custodial admissions,75319
2015/2016,Ontario,Sentenced,23641
2015/2016,Ontario,Remand,46874
2015/2016,Ontario,Other custodial statuses,4804
2015/2016,Ontario,Total community admissions,31234
2015/2016,Ontario,Probation and conditional sentences,30874
2015/2016,Ontario,Probation,27686
2015/2016,Ontario,Conditional sentence,3188
2015/2016,Ontario,Other community programs,360
2015/2016,Ontario,Unknown community admissions,0
2015/2016,Manitoba,Total custodial admissions,27658
2015/2016,Manitoba,Sentenced,6883
2015/2016,Manitoba,Remand,13260
2015/2016,Manitoba,Other custodial statuses,7515
2015/2016,Manitoba,Total community admissions,10251
2015/2016,Manitoba,Probation and conditional sentences,8710
2015/2016,Manitoba,Probation,7784
2015/2016,Manitoba,Conditional sentence,926
2015/2016,Manitoba,Other community programs,1541
2015/2016,Manitoba,Unknown community admissions,0
2015/2016,Saskatchewan,Total custodial admissions,13186
2015/2016,Saskatchewan,Sentenced,4609
2015/2016,Saskatchewan,Remand,8274
2015/2016,Saskatchewan,Other custodial statuses,303
2015/2016,Saskatchewan,Total community admissions,9794
2015/2016,Saskatchewan,Probation and conditional sentences,6546
2015/2016,Saskatchewan,Probation,4972
2015/2016,Saskatchewan,Conditional sentence,1574
2015/2016,Saskatchewan,Other community programs,3248
2015/2016,Saskatchewan,Unknown community admissions,0
2015/2016,Alberta,Total custodial admissions,
2015/2016,Alberta,Sentenced,
2015/2016,Alberta,Remand,
2015/2016,Alberta,Other custodial statuses,
2015/2016,Alberta,Total community admissions,
2015/2016,Alberta,Probation and conditional sentences,
2015/2016,Alberta,Probation,
2015/2016,Alberta,Conditional sentence,
2015/2016,Alberta,Other community programs,
2015/2016,Alberta,Unknown community admissions,
2015/2016,British Columbia,Total custodial admissions,26497
2015/2016,British Columbia,Sentenced,10268
2015/2016,British Columbia,Remand,14679
2015/2016,British Columbia,Other custodial statuses,1550
2015/2016,British Columbia,Total community admissions,30970
2015/2016,British Columbia,Probation and conditional sentences,10959
2015/2016,British Columbia,Probation,9026
2015/2016,British Columbia,Conditional sentence,1933
2015/2016,British Columbia,Other community programs,20011
2015/2016,British Columbia,Unknown community admissions,0
2015/2016,Yukon,Total custodial admissions,709
2015/2016,Yukon,Sentenced,257
2015/2016,Yukon,Remand,444
2015/2016,Yukon,Other custodial statuses,8
2015/2016,Yukon,Total community admissions,1207
2015/2016,Yukon,Probation and conditional sentences,406
2015/2016,Yukon,Probation,316
2015/2016,Yukon,Conditional sentence,90
2015/2016,Yukon,Other community programs,801
2015/2016,Yukon,Unknown community admissions,0
2015/2016,Northwest Territories,Total custodial admissions,1036
2015/2016,Northwest Territories,Sentenced,438
2015/2016,Northwest Territories,Remand,598
2015/2016,Northwest Territories,Other custodial statuses,
2015/2016,Northwest Territories,Total community admissions,469
2015/2016,Northwest Territories,Probation and conditional sentences,351
2015/2016,Northwest Territories,Probation,317
2015/2016,Northwest Territories,Conditional sentence,34
2015/2016,Northwest Territories,Other community programs,118
2015/2016,Northwest Territories,Unknown community admissions,0
2015/2016,Nunavut,Total custodial admissions,856
2015/2016,Nunavut,Sentenced,427
2015/2016,Nunavut,Remand,429
2015/2016,Nunavut,Total community admissions,622
2015/2016,Nunavut,Probation and conditional sentences,132
2015/2016,Nunavut,Probation,111
2015/2016,Nunavut,Conditional sentence,21
2015/2016,Nunavut,Other community programs,489
2015/2016,Nunavut,Unknown community admissions,1
2016/2017,All Provinces and territories,Total custodial admissions,251986
2016/2017,All Provinces and territories,Sentenced,84543
2016/2017,All Provinces and territories,Remand,147348
2016/2017,All Provinces and territories,Other custodial statuses,20095
2016/2017,All Provinces and territories,Total community admissions,150794
2016/2017,All Provinces and territories,Probation and conditional sentences,89510
2016/2017,All Provinces and territories,Probation,77110
2016/2017,All Provinces and territories,Conditional sentence,12400
2016/2017,All Provinces and territories,Other community programs,61282
2016/2017,All Provinces and territories,Unknown community admissions,2
2016/2017,Newfoundland and Labrador,Total custodial admissions,2050
2016/2017,Newfoundland and Labrador,Sentenced,977
2016/2017,Newfoundland and Labrador,Remand,981
2016/2017,Newfoundland and Labrador,Other custodial statuses,92
2016/2017,Newfoundland and Labrador,Total community admissions,1702
2016/2017,Newfoundland and Labrador,Probation and conditional sentences,1702
2016/2017,Newfoundland and Labrador,Probation,1323
2016/2017,Newfoundland and Labrador,Conditional sentence,379
2016/2017,Newfoundland and Labrador,Other community programs,0
2016/2017,Newfoundland and Labrador,Unknown community admissions,0
2016/2017,Prince Edward Island,Total custodial admissions,670
2016/2017,Prince Edward Island,Sentenced,484
2016/2017,Prince Edward Island,Remand,186
2016/2017,Prince Edward Island,Other custodial statuses,0
2016/2017,Prince Edward Island,Total community admissions,890
2016/2017,Prince Edward Island,Probation and conditional sentences,731
2016/2017,Prince Edward Island,Probation,706
2016/2017,Prince Edward Island,Conditional sentence,25
2016/2017,Prince Edward Island,Other community programs,159
2016/2017,Prince Edward Island,Unknown community admissions,0
2016/2017,Nova Scotia,Total custodial admissions,4741
2016/2017,Nova Scotia,Sentenced,1642
2016/2017,Nova Scotia,Remand,2881
2016/2017,Nova Scotia,Other custodial statuses,218
2016/2017,Nova Scotia,Total community admissions,4354
2016/2017,Nova Scotia,Probation and conditional sentences,3250
2016/2017,Nova Scotia,Probation,2607
2016/2017,Nova Scotia,Conditional sentence,643
2016/2017,Nova Scotia,Other community programs,1104
2016/2017,Nova Scotia,Unknown community admissions,0
2016/2017,New Brunswick,Total custodial admissions,5252
2016/2017,New Brunswick,Sentenced,2514
2016/2017,New Brunswick,Remand,2223
2016/2017,New Brunswick,Other custodial statuses,515
2016/2017,New Brunswick,Total community admissions,2345
2016/2017,New Brunswick,Probation and conditional sentences,2115
2016/2017,New Brunswick,Probation,1595
2016/2017,New Brunswick,Conditional sentence,520
2016/2017,New Brunswick,Other community programs,230
2016/2017,New Brunswick,Unknown community admissions,0
2016/2017,Quebec,Total custodial admissions,43665
2016/2017,Quebec,Sentenced,11467
2016/2017,Quebec,Remand,28625
2016/2017,Quebec,Other custodial statuses,3573
2016/2017,Quebec,Total community admissions,25023
2016/2017,Quebec,Probation and conditional sentences,11668
2016/2017,Quebec,Probation,9852
2016/2017,Quebec,Conditional sentence,1816
2016/2017,Quebec,Other community programs,13355
2016/2017,Quebec,Unknown community admissions,0
2016/2017,Ontario,Total custodial admissions,74664
2016/2017,Ontario,Sentenced,22951
2016/2017,Ontario,Remand,46910
2016/2017,Ontario,Other custodial statuses,4803
2016/2017,Ontario,Total community admissions,32273
2016/2017,Ontario,Probation and conditional sentences,31924
2016/2017,Ontario,Probation,28400
2016/2017,Ontario,Conditional sentence,3524
2016/2017,Ontario,Other community programs,349
2016/2017,Ontario,Unknown community admissions,0
2016/2017,Manitoba,Total custodial admissions,28874
2016/2017,Manitoba,Sentenced,7114
2016/2017,Manitoba,Remand,14375
2016/2017,Manitoba,Other custodial statuses,7385
2016/2017,Manitoba,Total community admissions,10239
2016/2017,Manitoba,Probation and conditional sentences,8717
2016/2017,Manitoba,Probation,7819
2016/2017,Manitoba,Conditional sentence,898
2016/2017,Manitoba,Other community programs,1522
2016/2017,Manitoba,Unknown community admissions,0
2016/2017,Saskatchewan,Total custodial admissions,13392
2016/2017,Saskatchewan,Sentenced,4595
2016/2017,Saskatchewan,Remand,8547
2016/2017,Saskatchewan,Other custodial statuses,250
2016/2017,Saskatchewan,Total community admissions,10115
2016/2017,Saskatchewan,Probation and conditional sentences,6488
2016/2017,Saskatchewan,Probation,5003
2016/2017,Saskatchewan,Conditional sentence,1485
2016/2017,Saskatchewan,Other community programs,3627
2016/2017,Saskatchewan,Unknown community admissions,0
2016/2017,Alberta,Total custodial admissions,48494
2016/2017,Alberta,Sentenced,20544
2016/2017,Alberta,Remand,26172
2016/2017,Alberta,Other custodial statuses,1778
2016/2017,Alberta,Total community admissions,30592
2016/2017,Alberta,Probation and conditional sentences,10998
2016/2017,Alberta,Probation,10026
2016/2017,Alberta,Conditional sentence,972
2016/2017,Alberta,Other community programs,19594
2016/2017,Alberta,Unknown community admissions,0
2016/2017,British Columbia,Total custodial admissions,27764
2016/2017,British Columbia,Sentenced,11279
2016/2017,British Columbia,Remand,15011
2016/2017,British Columbia,Other custodial statuses,1474
2016/2017,British Columbia,Total community admissions,30585
2016/2017,British Columbia,Probation and conditional sentences,10982
2016/2017,British Columbia,Probation,9018
2016/2017,British Columbia,Conditional sentence,1964
2016/2017,British Columbia,Other community programs,19603
2016/2017,British Columbia,Unknown community admissions,0
2016/2017,Yukon,Total custodial admissions,504
2016/2017,Yukon,Sentenced,118
2016/2017,Yukon,Remand,379
2016/2017,Yukon,Other custodial statuses,7
2016/2017,Yukon,Total community admissions,1251
2016/2017,Yukon,Probation and conditional sentences,415
2016/2017,Yukon,Probation,320
2016/2017,Yukon,Conditional sentence,95
2016/2017,Yukon,Other community programs,836
2016/2017,Yukon,Unknown community admissions,0
2016/2017,Northwest Territories,Total custodial admissions,1026
2016/2017,Northwest Territories,Sentenced,412
2016/2017,Northwest Territories,Remand,614
2016/2017,Northwest Territories,Other custodial statuses,0
2016/2017,Northwest Territories,Total community admissions,528
2016/2017,Northwest Territories,Probation and conditional sentences,391
2016/2017,Northwest Territories,Probation,342
2016/2017,Northwest Territories,Conditional sentence,49
2016/2017,Northwest Territories,Other community programs,137
2016/2017,Northwest Territories,Unknown community admissions,0
2016/2017,Nunavut,Total custodial admissions,890
2016/2017,Nunavut,Sentenced,446
2016/2017,Nunavut,Remand,444
2016/2017,Nunavut,Total community admissions,897
2016/2017,Nunavut,Probation and conditional sentences,129
2016/2017,Nunavut,Probation,99
2016/2017,Nunavut,Conditional sentence,30
2016/2017,Nunavut,Other community programs,766
2016/2017,Nunavut,Unknown community admissions,2
2017/2018,All Provinces and territories,Total custodial admissions,243190
2017/2018,All Provinces and territories,Sentenced,80759
2017/2018,All Provinces and territories,Remand,141905
2017/2018,All Provinces and territories,Other custodial statuses,20526
2017/2018,All Provinces and territories,Total community admissions,150214
2017/2018,All Provinces and territories,Probation and conditional sentences,86786
2017/2018,All Provinces and territories,Probation,74623
2017/2018,All Provinces and territories,Conditional sentence,12163
2017/2018,All Provinces and territories,Other community programs,63427
2017/2018,All Provinces and territories,Unknown community admissions,1
2017/2018,Newfoundland and Labrador,Total custodial admissions,1931
2017/2018,Newfoundland and Labrador,Sentenced,938
2017/2018,Newfoundland and Labrador,Remand,891
2017/2018,Newfoundland and Labrador,Other custodial statuses,102
2017/2018,Newfoundland and Labrador,Total community admissions,1754
2017/2018,Newfoundland and Labrador,Probation and conditional sentences,1754
2017/2018,Newfoundland and Labrador,Probation,1367
2017/2018,Newfoundland and Labrador,Conditional sentence,387
2017/2018,Newfoundland and Labrador,Other community programs,0
2017/2018,Newfoundland and Labrador,Unknown community admissions,0
2017/2018,Prince Edward Island,Total custodial admissions,680
2017/2018,Prince Edward Island,Sentenced,481
2017/2018,Prince Edward Island,Remand,196
2017/2018,Prince Edward Island,Other custodial statuses,3
2017/2018,Prince Edward Island,Total community admissions,918
2017/2018,Prince Edward Island,Probation and conditional sentences,771
2017/2018,Prince Edward Island,Probation,752
2017/2018,Prince Edward Island,Conditional sentence,19
2017/2018,Prince Edward Island,Other community programs,147
2017/2018,Prince Edward Island,Unknown community admissions,0
2017/2018,Nova Scotia,Total custodial admissions,4812
2017/2018,Nova Scotia,Sentenced,1586
2017/2018,Nova Scotia,Remand,3034
2017/2018,Nova Scotia,Other custodial statuses,192
2017/2018,Nova Scotia,Total community admissions,4425
2017/2018,Nova Scotia,Probation and conditional sentences,3245
2017/2018,Nova Scotia,Probation,2598
2017/2018,Nova Scotia,Conditional sentence,647
2017/2018,Nova Scotia,Other community programs,1180
2017/2018,Nova Scotia,Unknown community admissions,0
2017/2018,New Brunswick,Total custodial admissions,5490
2017/2018,New Brunswick,Sentenced,2464
2017/2018,New Brunswick,Remand,2350
2017/2018,New Brunswick,Other custodial statuses,676
2017/2018,New Brunswick,Total community admissions,2183
2017/2018,New Brunswick,Probation and conditional sentences,2010
2017/2018,New Brunswick,Probation,1524
2017/2018,New Brunswick,Conditional sentence,486
2017/2018,New Brunswick,Other community programs,173
2017/2018,New Brunswick,Unknown community admissions,0
2017/2018,Quebec,Total custodial admissions,45380
2017/2018,Quebec,Sentenced,12682
2017/2018,Quebec,Remand,29140
2017/2018,Quebec,Other custodial statuses,3558
2017/2018,Quebec,Total community admissions,26528
2017/2018,Quebec,Probation and conditional sentences,12210
2017/2018,Quebec,Probation,10388
2017/2018,Quebec,Conditional sentence,1822
2017/2018,Quebec,Other community programs,14318
2017/2018,Quebec,Unknown community admissions,0
2017/2018,Ontario,Total custodial admissions,69190
2017/2018,Ontario,Sentenced,20729
2017/2018,Ontario,Remand,43646
2017/2018,Ontario,Other custodial statuses,4815
2017/2018,Ontario,Total community admissions,30852
2017/2018,Ontario,Probation and conditional sentences,30358
2017/2018,Ontario,Probation,26896
2017/2018,Ontario,Conditional sentence,3462
2017/2018,Ontario,Other community programs,494
2017/2018,Ontario,Unknown community admissions,0
2017/2018,Manitoba,Total custodial admissions,29791
2017/2018,Manitoba,Sentenced,7333
2017/2018,Manitoba,Remand,14781
2017/2018,Manitoba,Other custodial statuses,7677
2017/2018,Manitoba,Total community admissions,10017
2017/2018,Manitoba,Probation and conditional sentences,8676
