REF_DATE,GEO,Custodial and community admissions,VALUE
2002/2003,Northwest Territories,Probation and conditional sentences,
2002/2003,Northwest Territories,Probation,
2002/2003,Northwest Territories,Conditional sentence,
2002/2003,Northwest Territories,Other community programs,
2002/2003,Northwest Territories,Unknown community admissions,
2002/2003,Nunavut,Total custodial admissions,554
2002/2003,Nunavut,Sentenced,325
2002/2003,Nunavut,Remand,229
2002/2003,Nunavut,Total community admissions,487
2002/2003,Nunavut,Probation and conditional sentences,312
2002/2003,Nunavut,Probation,217
2002/2003,Nunavut,Conditional sentence,95
2002/2003,Nunavut,Other community programs,174
2002/2003,Nunavut,Unknown community admissions,1
2003/2004,All Provinces and territories,Total custodial admissions,206403
2003/2004,All Provinces and territories,Sentenced,65632
2003/2004,All Provinces and territories,Remand,112781
2003/2004,All Provinces and territories,Other custodial statuses,27990
2003/2004,All Provinces and territories,Total community admissions,130668
2003/2004,All Provinces and territories,Probation and conditional sentences,95255
2003/2004,All Provinces and territories,Probation,76785
2003/2004,All Provinces and territories,Conditional sentence,18470
2003/2004,All Provinces and territories,Other community programs,35409
2003/2004,All Provinces and territories,Unknown community admissions,4
2003/2004,Newfoundland and Labrador,Total custodial admissions,1746
2003/2004,Newfoundland and Labrador,Sentenced,1187
2003/2004,Newfoundland and Labrador,Remand,447
2003/2004,Newfoundland and Labrador,Other custodial statuses,112
2003/2004,Newfoundland and Labrador,Total community admissions,2151
2003/2004,Newfoundland and Labrador,Probation and conditional sentences,2151
2003/2004,Newfoundland and Labrador,Probation,1741
2003/2004,Newfoundland and Labrador,Conditional sentence,410
2003/2004,Newfoundland and Labrador,Other community programs,0
2003/2004,Newfoundland and Labrador,Unknown community admissions,0
2003/2004,Prince Edward Island,Total custodial admissions,678
2003/2004,Prince Edward Island,Sentenced,489
2003/2004,Prince Edward Island,Remand,189
2003/2004,Prince Edward Island,Other custodial statuses,
2003/2004,Prince Edward Island,Total community admissions,800
2003/2004,Prince Edward Island,Probation and conditional sentences,556
2003/2004,Prince Edward Island,Probation,498
2003/2004,Prince Edward Island,Conditional sentence,58
2003/2004,Prince Edward Island,Other community programs,244
2003/2004,Prince Edward Island,Unknown community admissions,0
2003/2004,Nova Scotia,Total custodial admissions,4198
2003/2004,Nova Scotia,Sentenced,1828
2003/2004,Nova Scotia,Remand,2095
2003/2004,Nova Scotia,Other custodial statuses,275
2003/2004,Nova Scotia,Total community admissions,5277
2003/2004,Nova Scotia,Probation and conditional sentences,3716
2003/2004,Nova Scotia,Probation,3094
2003/2004,Nova Scotia,Conditional sentence,622
2003/2004,Nova Scotia,Other community programs,1561
2003/2004,Nova Scotia,Unknown community admissions,0
2003/2004,New Brunswick,Total custodial admissions,4504
2003/2004,New Brunswick,Sentenced,2486
2003/2004,New Brunswick,Remand,1469
2003/2004,New Brunswick,Other custodial statuses,549
2003/2004,New Brunswick,Total community admissions,3202
2003/2004,New Brunswick,Probation and conditional sentences,2369
2003/2004,New Brunswick,Probation,1754
2003/2004,New Brunswick,Conditional sentence,615
2003/2004,New Brunswick,Other community programs,833
2003/2004,New Brunswick,Unknown community admissions,0
2003/2004,Quebec,Total custodial admissions,40543
2003/2004,Quebec,Sentenced,11933
2003/2004,Quebec,Remand,25761
2003/2004,Quebec,Other custodial statuses,2849
2003/2004,Quebec,Total community admissions,18891
2003/2004,Quebec,Probation and conditional sentences,13170
2003/2004,Quebec,Probation,8645
2003/2004,Quebec,Conditional sentence,4525
2003/2004,Quebec,Other community programs,5721
2003/2004,Quebec,Unknown community admissions,0
2003/2004,Ontario,Total custodial admissions,90877
2003/2004,Ontario,Sentenced,31357
2003/2004,Ontario,Remand,56423
2003/2004,Ontario,Other custodial statuses,3097
2003/2004,Ontario,Total community admissions,42189
2003/2004,Ontario,Probation and conditional sentences,41904
2003/2004,Ontario,Probation,36682
2003/2004,Ontario,Conditional sentence,5222
2003/2004,Ontario,Other community programs,285
2003/2004,Ontario,Unknown community admissions,0
2003/2004,Manitoba,Total custodial admissions,18761
2003/2004,Manitoba,Sentenced,3139
2003/2004,Manitoba,Remand,8273
2003/2004,Manitoba,Other custodial statuses,7349
2003/2004,Manitoba,Total community admissions,7055
2003/2004,Manitoba,Probation and conditional sentences,4118
2003/2004,Manitoba,Probation,3379
2003/2004,Manitoba,Conditional sentence,739
2003/2004,Manitoba,Other community programs,2937
2003/2004,Manitoba,Unknown community admissions,0
2003/2004,Saskatchewan,Total custodial admissions,8951
2003/2004,Saskatchewan,Sentenced,3312
2003/2004,Saskatchewan,Remand,5464
2003/2004,Saskatchewan,Other custodial statuses,175
2003/2004,Saskatchewan,Total community admissions,7659
2003/2004,Saskatchewan,Probation and conditional sentences,4975
2003/2004,Saskatchewan,Probation,3452
2003/2004,Saskatchewan,Conditional sentence,1523
2003/2004,Saskatchewan,Other community programs,2684
2003/2004,Saskatchewan,Unknown community admissions,0
2003/2004,Alberta,Total custodial admissions,
2003/2004,Alberta,Sentenced,
2003/2004,Alberta,Remand,
2003/2004,Alberta,Other custodial statuses,
2003/2004,Alberta,Total community admissions,14210
2003/2004,Alberta,Probation and conditional sentences,9272
2003/2004,Alberta,Probation,7865
2003/2004,Alberta,Conditional sentence,1407
2003/2004,Alberta,Other community programs,4938
2003/2004,Alberta,Unknown community admissions,0
2003/2004,British Columbia,Total custodial admissions,34217
2003/2004,British Columbia,Sentenced,8812
2003/2004,British Columbia,Remand,11840
2003/2004,British Columbia,Other custodial statuses,13565
2003/2004,British Columbia,Total community admissions,27840
2003/2004,British Columbia,Probation and conditional sentences,12261
2003/2004,British Columbia,Probation,9120
2003/2004,British Columbia,Conditional sentence,3141
2003/2004,British Columbia,Other community programs,15579
2003/2004,British Columbia,Unknown community admissions,0
2003/2004,Yukon,Total custodial admissions,565
2003/2004,Yukon,Sentenced,192
2003/2004,Yukon,Remand,358
2003/2004,Yukon,Other custodial statuses,15
2003/2004,Yukon,Total community admissions,808
2003/2004,Yukon,Probation and conditional sentences,388
2003/2004,Yukon,Probation,292
2003/2004,Yukon,Conditional sentence,96
2003/2004,Yukon,Other community programs,420
2003/2004,Yukon,Unknown community admissions,0
2003/2004,Northwest Territories,Total custodial admissions,853
2003/2004,Northwest Territories,Sentenced,616
2003/2004,Northwest Territories,Remand,233
2003/2004,Northwest Territories,Other custodial statuses,4
2003/2004,Northwest Territories,Total community admissions,
2003/2004,Northwest Territories,Probation and conditional sentences,
2003/2004,Northwest Territories,Probation,
2003/2004,Northwest Territories,Conditional sentence,
2003/2004,Northwest Territories,Other community programs,
