REF_DATE,GEO,Custodial admissions,Age group,VALUE
2000/2001,New Brunswick,Sentenced,50 years and over,
2000/2001,New Brunswick,Sentenced,Age unknown,
2000/2001,New Brunswick,Sentenced,Median age on admission,
2000/2001,New Brunswick,Remand,"Total, custodial admissions by age group",
2000/2001,New Brunswick,Remand,18 to 19 years,
2000/2001,New Brunswick,Remand,20 to 24 years,
2000/2001,New Brunswick,Remand,25 to 29 years,
2000/2001,New Brunswick,Remand,30 to 34 years,
2000/2001,New Brunswick,Remand,35 to 39 years,
2000/2001,New Brunswick,Remand,40 to 44 years,
2000/2001,New Brunswick,Remand,45 to 49 years,
2000/2001,New Brunswick,Remand,50 years and over,
2000/2001,New Brunswick,Remand,Age unknown,
2000/2001,New Brunswick,Remand,Median age on admission,
2000/2001,New Brunswick,Other custodial statuses,"Total, custodial admissions by age group",
2000/2001,New Brunswick,Other custodial statuses,18 to 19 years,
2000/2001,New Brunswick,Other custodial statuses,20 to 24 years,
2000/2001,New Brunswick,Other custodial statuses,25 to 29 years,
2000/2001,New Brunswick,Other custodial statuses,30 to 34 years,
2000/2001,New Brunswick,Other custodial statuses,35 to 39 years,
2000/2001,New Brunswick,Other custodial statuses,40 to 44 years,
2000/2001,New Brunswick,Other custodial statuses,45 to 49 years,
2000/2001,New Brunswick,Other custodial statuses,50 years and over,
2000/2001,New Brunswick,Other custodial statuses,Age unknown,
2000/2001,Quebec,"Total, custodial admissions","Total, custodial admissions by age group",43911
2000/2001,Quebec,"Total, custodial admissions",18 to 19 years,2471
2000/2001,Quebec,"Total, custodial admissions",20 to 24 years,7478
2000/2001,Quebec,"Total, custodial admissions",25 to 29 years,6903
2000/2001,Quebec,"Total, custodial admissions",30 to 34 years,7437
2000/2001,Quebec,"Total, custodial admissions",35 to 39 years,7532
2000/2001,Quebec,"Total, custodial admissions",40 to 44 years,5591
2000/2001,Quebec,"Total, custodial admissions",45 to 49 years,3085
2000/2001,Quebec,"Total, custodial admissions",50 years and over,3403
2000/2001,Quebec,"Total, custodial admissions",Age unknown,11
2000/2001,Quebec,Sentenced,"Total, custodial admissions by age group",14951
2000/2001,Quebec,Sentenced,18 to 19 years,370
2000/2001,Quebec,Sentenced,20 to 24 years,2199
2000/2001,Quebec,Sentenced,25 to 29 years,2398
2000/2001,Quebec,Sentenced,30 to 34 years,2634
2000/2001,Quebec,Sentenced,35 to 39 years,2630
2000/2001,Quebec,Sentenced,40 to 44 years,2144
2000/2001,Quebec,Sentenced,45 to 49 years,1221
2000/2001,Quebec,Sentenced,50 years and over,1352
2000/2001,Quebec,Sentenced,Age unknown,3
2000/2001,Quebec,Sentenced,Median age on admission,35
2000/2001,Quebec,Remand,"Total, custodial admissions by age group",26063
2000/2001,Quebec,Remand,18 to 19 years,1824
2000/2001,Quebec,Remand,20 to 24 years,4687
2000/2001,Quebec,Remand,25 to 29 years,4049
2000/2001,Quebec,Remand,30 to 34 years,4378
2000/2001,Quebec,Remand,35 to 39 years,4471
2000/2001,Quebec,Remand,40 to 44 years,3112
2000/2001,Quebec,Remand,45 to 49 years,1681
2000/2001,Quebec,Remand,50 years and over,1854
2000/2001,Quebec,Remand,Age unknown,7
2000/2001,Quebec,Remand,Median age on admission,33
2000/2001,Quebec,Other custodial statuses,"Total, custodial admissions by age group",2897
2000/2001,Quebec,Other custodial statuses,18 to 19 years,277
2000/2001,Quebec,Other custodial statuses,20 to 24 years,592
2000/2001,Quebec,Other custodial statuses,25 to 29 years,456
2000/2001,Quebec,Other custodial statuses,30 to 34 years,425
2000/2001,Quebec,Other custodial statuses,35 to 39 years,431
2000/2001,Quebec,Other custodial statuses,40 to 44 years,335
2000/2001,Quebec,Other custodial statuses,45 to 49 years,183
2000/2001,Quebec,Other custodial statuses,50 years and over,197
2000/2001,Quebec,Other custodial statuses,Age unknown,1
2000/2001,Quebec,Other custodial statuses,Median age on admission,31
2000/2001,Ontario,"Total, custodial admissions","Total, custodial admissions by age group",86417
2000/2001,Ontario,"Total, custodial admissions",18 to 19 years,8276
2000/2001,Ontario,"Total, custodial admissions",20 to 24 years,17533
2000/2001,Ontario,"Total, custodial admissions",25 to 29 years,12714
2000/2001,Ontario,"Total, custodial admissions",30 to 34 years,14054
2000/2001,Ontario,"Total, custodial admissions",35 to 39 years,13849
2000/2001,Ontario,"Total, custodial admissions",40 to 44 years,9788
2000/2001,Ontario,"Total, custodial admissions",45 to 49 years,5285
2000/2001,Ontario,"Total, custodial admissions",50 years and over,4884
2000/2001,Ontario,"Total, custodial admissions",Age unknown,34
2000/2001,Ontario,Sentenced,"Total, custodial admissions by age group",30999
2000/2001,Ontario,Sentenced,18 to 19 years,2481
2000/2001,Ontario,Sentenced,20 to 24 years,5944
2000/2001,Ontario,Sentenced,25 to 29 years,4553
2000/2001,Ontario,Sentenced,30 to 34 years,5132
2000/2001,Ontario,Sentenced,35 to 39 years,5260
2000/2001,Ontario,Sentenced,40 to 44 years,3775
2000/2001,Ontario,Sentenced,45 to 49 years,1968
2000/2001,Ontario,Sentenced,50 years and over,1885
2000/2001,Ontario,Sentenced,Age unknown,1
2000/2001,Ontario,Sentenced,Median age on admission,32
2000/2001,Ontario,Remand,"Total, custodial admissions by age group",52179
2000/2001,Ontario,Remand,18 to 19 years,5738
2000/2001,Ontario,Remand,20 to 24 years,10434
2000/2001,Ontario,Remand,25 to 29 years,7466
2000/2001,Ontario,Remand,30 to 34 years,8319
2000/2001,Ontario,Remand,35 to 39 years,8244
2000/2001,Ontario,Remand,40 to 44 years,5813
2000/2001,Ontario,Remand,45 to 49 years,3181
2000/2001,Ontario,Remand,50 years and over,2969
2000/2001,Ontario,Remand,Age unknown,15
2000/2001,Ontario,Remand,Median age on admission,31
2000/2001,Ontario,Other custodial statuses,"Total, custodial admissions by age group",3239
2000/2001,Ontario,Other custodial statuses,18 to 19 years,57
2000/2001,Ontario,Other custodial statuses,20 to 24 years,1155
2000/2001,Ontario,Other custodial statuses,25 to 29 years,695
2000/2001,Ontario,Other custodial statuses,30 to 34 years,603
2000/2001,Ontario,Other custodial statuses,35 to 39 years,345
2000/2001,Ontario,Other custodial statuses,40 to 44 years,200
2000/2001,Ontario,Other custodial statuses,45 to 49 years,136
2000/2001,Ontario,Other custodial statuses,50 years and over,30
2000/2001,Ontario,Other custodial statuses,Age unknown,18
2000/2001,Ontario,Other custodial statuses,Median age on admission,32
2000/2001,Manitoba,"Total, custodial admissions","Total, custodial admissions by age group",14780
2000/2001,Manitoba,"Total, custodial admissions",18 to 19 years,1158
2000/2001,Manitoba,"Total, custodial admissions",20 to 24 years,3623
2000/2001,Manitoba,"Total, custodial admissions",25 to 29 years,2536
2000/2001,Manitoba,"Total, custodial admissions",30 to 34 years,2411
2000/2001,Manitoba,"Total, custodial admissions",35 to 39 years,2252
2000/2001,Manitoba,"Total, custodial admissions",40 to 44 years,1376
2000/2001,Manitoba,"Total, custodial admissions",45 to 49 years,727
