REF_DATE,GEO,Initial entry status,VALUE
1999/2000,Quebec,Custody and supervision (secure),
1999/2000,Quebec,Young Offenders Act (YOA) (secure),
1999/2000,Quebec,Open custody,
1999/2000,Quebec,Custody and supervision (open),
1999/2000,Quebec,Young Offenders Act (YOA) (open),
1999/2000,Quebec,Total community sentences,
1999/2000,Quebec,Intensive support and supervision,
1999/2000,Quebec,Deferred custody and supervision,
1999/2000,Quebec,Supervised probation,
1999/2000,Quebec,Other community sentences,
1999/2000,Ontario,Total correctional services,17495
1999/2000,Ontario,Pre-trial detention,3333
1999/2000,Ontario,Secure custody,1288
1999/2000,Ontario,Custody and supervision (secure),
1999/2000,Ontario,Young Offenders Act (YOA) (secure),
1999/2000,Ontario,Open custody,1680
1999/2000,Ontario,Custody and supervision (open),
1999/2000,Ontario,Young Offenders Act (YOA) (open),
1999/2000,Ontario,Total community sentences,11194
1999/2000,Ontario,Intensive support and supervision,
1999/2000,Ontario,Deferred custody and supervision,
1999/2000,Ontario,Supervised probation,11063
1999/2000,Ontario,Other community sentences,131
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Total correctional services,8784
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Pre-trial detention,
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Secure custody,956
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (secure),
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (secure),
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Open custody,1268
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Custody and supervision (open),
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Young Offenders Act (YOA) (open),
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Total community sentences,6560
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Intensive support and supervision,
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Deferred custody and supervision,
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Supervised probation,6429
1999/2000,"Ontario, Ministry of Children and Youth Services (MCYS)",Other community sentences,131
1999/2000,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Total correctional services,8711
