REF_DATE,GEO,Initial entry status,VALUE
2014/2015,Newfoundland and Labrador,Deferred custody and supervision,2
2014/2015,Newfoundland and Labrador,Supervised probation,90
2014/2015,Newfoundland and Labrador,Other community sentences,7
2014/2015,Prince Edward Island,Total correctional services,45
2014/2015,Prince Edward Island,Pre-trial detention,19
2014/2015,Prince Edward Island,Secure custody,12
2014/2015,Prince Edward Island,Open custody,14
2014/2015,Prince Edward Island,Total community sentences,
2014/2015,Prince Edward Island,Intensive support and supervision,
2014/2015,Prince Edward Island,Deferred custody and supervision,
2014/2015,Prince Edward Island,Supervised probation,
2014/2015,Prince Edward Island,Other community sentences,
2014/2015,Nova Scotia,Total correctional services,
2014/2015,Nova Scotia,Pre-trial detention,
2014/2015,Nova Scotia,Secure custody,
2014/2015,Nova Scotia,Open custody,
2014/2015,Nova Scotia,Total community sentences,
2014/2015,Nova Scotia,Intensive support and supervision,
2014/2015,Nova Scotia,Deferred custody and supervision,
2014/2015,Nova Scotia,Supervised probation,
2014/2015,Nova Scotia,Other community sentences,
2014/2015,New Brunswick,Total correctional services,319
2014/2015,New Brunswick,Pre-trial detention,116
2014/2015,New Brunswick,Secure custody,2
2014/2015,New Brunswick,Open custody,3
2014/2015,New Brunswick,Total community sentences,198
2014/2015,New Brunswick,Intensive support and supervision,
2014/2015,New Brunswick,Deferred custody and supervision,9
2014/2015,New Brunswick,Supervised probation,156
2014/2015,New Brunswick,Other community sentences,33
2014/2015,Quebec,Total correctional services,
2014/2015,Quebec,Pre-trial detention,
2014/2015,Quebec,Secure custody,
2014/2015,Quebec,Open custody,
2014/2015,Quebec,Total community sentences,
2014/2015,Quebec,Intensive support and supervision,
2014/2015,Quebec,Deferred custody and supervision,
2014/2015,Quebec,Supervised probation,
2014/2015,Quebec,Other community sentences,
2014/2015,Ontario,Total correctional services,3699
2014/2015,Ontario,Pre-trial detention,1457
2014/2015,Ontario,Secure custody,22
2014/2015,Ontario,Open custody,30
2014/2015,Ontario,Total community sentences,2190
2014/2015,Ontario,Intensive support and supervision,0
2014/2015,Ontario,Deferred custody and supervision,53
2014/2015,Ontario,Supervised probation,2115
2014/2015,Ontario,Other community sentences,22
2014/2015,Manitoba,Total correctional services,
2014/2015,Manitoba,Pre-trial detention,
2014/2015,Manitoba,Secure custody,
2014/2015,Manitoba,Open custody,
2014/2015,Manitoba,Total community sentences,
2014/2015,Manitoba,Intensive support and supervision,
2014/2015,Manitoba,Deferred custody and supervision,
2014/2015,Manitoba,Supervised probation,
2014/2015,Manitoba,Other community sentences,
2014/2015,Saskatchewan,Total correctional services,
2014/2015,Saskatchewan,Pre-trial detention,
2014/2015,Saskatchewan,Secure custody,
2014/2015,Saskatchewan,Open custody,
2014/2015,Saskatchewan,Total community sentences,
2014/2015,Saskatchewan,Intensive support and supervision,
2014/2015,Saskatchewan,Deferred custody and supervision,
2014/2015,Saskatchewan,Supervised probation,
2014/2015,Saskatchewan,Other community sentences,
2014/2015,Alberta,Total correctional services,
2014/2015,Alberta,Pre-trial detention,
2014/2015,Alberta,Secure custody,
2014/2015,Alberta,Open custody,
2014/2015,Alberta,Total community sentences,
2014/2015,Alberta,Intensive support and supervision,
2014/2015,Alberta,Deferred custody and supervision,
2014/2015,Alberta,Supervised probation,
2014/2015,Alberta,Other community sentences,
2014/2015,British Columbia,Total correctional services,1310
2014/2015,British Columbia,Pre-trial detention,75
2014/2015,British Columbia,Secure custody,1
2014/2015,British Columbia,Open custody,4
2014/2015,British Columbia,Total community sentences,1230
2014/2015,British Columbia,Intensive support and supervision,19
2014/2015,British Columbia,Deferred custody and supervision,6
2014/2015,British Columbia,Supervised probation,207
2014/2015,British Columbia,Other community sentences,998
2014/2015,Yukon,Total correctional services,37
2014/2015,Yukon,Pre-trial detention,24
2014/2015,Yukon,Secure custody,0
2014/2015,Yukon,Open custody,1
2014/2015,Yukon,Total community sentences,12
2014/2015,Yukon,Intensive support and supervision,0
2014/2015,Yukon,Deferred custody and supervision,0
2014/2015,Yukon,Supervised probation,8
2014/2015,Yukon,Other community sentences,4
2014/2015,Northwest Territories,Total correctional services,18
2014/2015,Northwest Territories,Pre-trial detention,1
2014/2015,Northwest Territories,Secure custody,0
2014/2015,Northwest Territories,Open custody,0
2014/2015,Northwest Territories,Total community sentences,17
2014/2015,Northwest Territories,Intensive support and supervision,0
2014/2015,Northwest Territories,Deferred custody and supervision,0
2014/2015,Northwest Territories,Supervised probation,17
2014/2015,Northwest Territories,Other community sentences,
2014/2015,Nunavut,Total correctional services,45
2014/2015,Nunavut,Pre-trial detention,7
2014/2015,Nunavut,Secure custody,1
2014/2015,Nunavut,Open custody,1
2014/2015,Nunavut,Total community sentences,36
2014/2015,Nunavut,Intensive support and supervision,
2014/2015,Nunavut,Deferred custody and supervision,
2014/2015,Nunavut,Supervised probation,32
2014/2015,Nunavut,Other community sentences,4
2015/2016,Provinces and territories,Total correctional services,5127
2015/2016,Provinces and territories,Pre-trial detention,1581
2015/2016,Provinces and territories,Secure custody,41
2015/2016,Provinces and territories,Open custody,58
2015/2016,Provinces and territories,Total community sentences,3447
2015/2016,Provinces and territories,Intensive support and supervision,21
2015/2016,Provinces and territories,Deferred custody and supervision,48
2015/2016,Provinces and territories,Supervised probation,2318
2015/2016,Provinces and territories,Other community sentences,1060
2015/2016,Newfoundland and Labrador,Total correctional services,116
2015/2016,Newfoundland and Labrador,Pre-trial detention,6
2015/2016,Newfoundland and Labrador,Secure custody,2
2015/2016,Newfoundland and Labrador,Open custody,0
2015/2016,Newfoundland and Labrador,Total community sentences,108
2015/2016,Newfoundland and Labrador,Intensive support and supervision,0
2015/2016,Newfoundland and Labrador,Deferred custody and supervision,1
2015/2016,Newfoundland and Labrador,Supervised probation,105
2015/2016,Newfoundland and Labrador,Other community sentences,2
2015/2016,Prince Edward Island,Total correctional services,50
2015/2016,Prince Edward Island,Pre-trial detention,19
2015/2016,Prince Edward Island,Secure custody,13
2015/2016,Prince Edward Island,Open custody,18
2015/2016,Prince Edward Island,Total community sentences,
2015/2016,Prince Edward Island,Intensive support and supervision,
2015/2016,Prince Edward Island,Deferred custody and supervision,
2015/2016,Prince Edward Island,Supervised probation,
2015/2016,Prince Edward Island,Other community sentences,
2015/2016,Nova Scotia,Total correctional services,
2015/2016,Nova Scotia,Pre-trial detention,
2015/2016,Nova Scotia,Secure custody,
2015/2016,Nova Scotia,Open custody,
2015/2016,Nova Scotia,Total community sentences,
2015/2016,Nova Scotia,Intensive support and supervision,
2015/2016,Nova Scotia,Deferred custody and supervision,
2015/2016,Nova Scotia,Supervised probation,
2015/2016,Nova Scotia,Other community sentences,
2015/2016,New Brunswick,Total correctional services,309
2015/2016,New Brunswick,Pre-trial detention,110
2015/2016,New Brunswick,Secure custody,2
2015/2016,New Brunswick,Open custody,1
2015/2016,New Brunswick,Total community sentences,196
2015/2016,New Brunswick,Intensive support and supervision,
2015/2016,New Brunswick,Deferred custody and supervision,8
2015/2016,New Brunswick,Supervised probation,146
2015/2016,New Brunswick,Other community sentences,42
2015/2016,Quebec,Total correctional services,
2015/2016,Quebec,Pre-trial detention,
2015/2016,Quebec,Secure custody,
2015/2016,Quebec,Open custody,
2015/2016,Quebec,Total community sentences,
2015/2016,Quebec,Intensive support and supervision,
2015/2016,Quebec,Deferred custody and supervision,
2015/2016,Quebec,Supervised probation,
2015/2016,Quebec,Other community sentences,
2015/2016,Ontario,Total correctional services,3242
2015/2016,Ontario,Pre-trial detention,1325
2015/2016,Ontario,Secure custody,22
2015/2016,Ontario,Open custody,32
2015/2016,Ontario,Total community sentences,1863
2015/2016,Ontario,Intensive support and supervision,2
2015/2016,Ontario,Deferred custody and supervision,31
2015/2016,Ontario,Supervised probation,1821
2015/2016,Ontario,Other community sentences,9
2015/2016,Manitoba,Total correctional services,
2015/2016,Manitoba,Pre-trial detention,
2015/2016,Manitoba,Secure custody,
2015/2016,Manitoba,Open custody,
2015/2016,Manitoba,Total community sentences,
2015/2016,Manitoba,Intensive support and supervision,
2015/2016,Manitoba,Deferred custody and supervision,
2015/2016,Manitoba,Supervised probation,
2015/2016,Manitoba,Other community sentences,
2015/2016,Saskatchewan,Total correctional services,
2015/2016,Saskatchewan,Pre-trial detention,
2015/2016,Saskatchewan,Secure custody,
2015/2016,Saskatchewan,Open custody,
2015/2016,Saskatchewan,Total community sentences,
2015/2016,Saskatchewan,Intensive support and supervision,
2015/2016,Saskatchewan,Deferred custody and supervision,
2015/2016,Saskatchewan,Supervised probation,
2015/2016,Saskatchewan,Other community sentences,
2015/2016,Alberta,Total correctional services,
2015/2016,Alberta,Pre-trial detention,
2015/2016,Alberta,Secure custody,
2015/2016,Alberta,Open custody,
2015/2016,Alberta,Total community sentences,
2015/2016,Alberta,Intensive support and supervision,
2015/2016,Alberta,Deferred custody and supervision,
2015/2016,Alberta,Supervised probation,
2015/2016,Alberta,Other community sentences,
2015/2016,British Columbia,Total correctional services,1308
2015/2016,British Columbia,Pre-trial detention,80
2015/2016,British Columbia,Secure custody,0
2015/2016,British Columbia,Open custody,3
2015/2016,British Columbia,Total community sentences,1225
2015/2016,British Columbia,Intensive support and supervision,19
2015/2016,British Columbia,Deferred custody and supervision,5
2015/2016,British Columbia,Supervised probation,200
2015/2016,British Columbia,Other community sentences,1001
2015/2016,Yukon,Total correctional services,46
2015/2016,Yukon,Pre-trial detention,26
2015/2016,Yukon,Secure custody,0
2015/2016,Yukon,Open custody,1
2015/2016,Yukon,Total community sentences,19
2015/2016,Yukon,Intensive support and supervision,0
2015/2016,Yukon,Deferred custody and supervision,0
2015/2016,Yukon,Supervised probation,16
2015/2016,Yukon,Other community sentences,3
2015/2016,Northwest Territories,Total correctional services,16
2015/2016,Northwest Territories,Pre-trial detention,3
2015/2016,Northwest Territories,Secure custody,1
2015/2016,Northwest Territories,Open custody,1
2015/2016,Northwest Territories,Total community sentences,11
2015/2016,Northwest Territories,Intensive support and supervision,0
2015/2016,Northwest Territories,Deferred custody and supervision,3
2015/2016,Northwest Territories,Supervised probation,8
2015/2016,Northwest Territories,Other community sentences,
2015/2016,Nunavut,Total correctional services,40
2015/2016,Nunavut,Pre-trial detention,12
2015/2016,Nunavut,Secure custody,1
2015/2016,Nunavut,Open custody,2
2015/2016,Nunavut,Total community sentences,25
2015/2016,Nunavut,Intensive support and supervision,
2015/2016,Nunavut,Deferred custody and supervision,
2015/2016,Nunavut,Supervised probation,22
2015/2016,Nunavut,Other community sentences,3
2016/2017,Provinces and territories,Total correctional services,5965
2016/2017,Provinces and territories,Pre-trial detention,1852
2016/2017,Provinces and territories,Secure custody,35
2016/2017,Provinces and territories,Open custody,44
2016/2017,Provinces and territories,Total community sentences,4034
2016/2017,Provinces and territories,Intensive support and supervision,19
2016/2017,Provinces and territories,Deferred custody and supervision,78
2016/2017,Provinces and territories,Supervised probation,2771
2016/2017,Provinces and territories,Other community sentences,1166
2016/2017,Newfoundland and Labrador,Total correctional services,109
2016/2017,Newfoundland and Labrador,Pre-trial detention,10
2016/2017,Newfoundland and Labrador,Secure custody,3
2016/2017,Newfoundland and Labrador,Open custody,0
2016/2017,Newfoundland and Labrador,Total community sentences,96
2016/2017,Newfoundland and Labrador,Intensive support and supervision,0
2016/2017,Newfoundland and Labrador,Deferred custody and supervision,2
2016/2017,Newfoundland and Labrador,Supervised probation,87
2016/2017,Newfoundland and Labrador,Other community sentences,7
2016/2017,Prince Edward Island,Total correctional services,28
2016/2017,Prince Edward Island,Pre-trial detention,18
2016/2017,Prince Edward Island,Secure custody,4
2016/2017,Prince Edward Island,Open custody,6
2016/2017,Prince Edward Island,Total community sentences,0
2016/2017,Prince Edward Island,Intensive support and supervision,
2016/2017,Prince Edward Island,Deferred custody and supervision,
2016/2017,Prince Edward Island,Supervised probation,0
2016/2017,Prince Edward Island,Other community sentences,0
2016/2017,Nova Scotia,Total correctional services,
2016/2017,Nova Scotia,Pre-trial detention,
2016/2017,Nova Scotia,Secure custody,
2016/2017,Nova Scotia,Open custody,
2016/2017,Nova Scotia,Total community sentences,
2016/2017,Nova Scotia,Intensive support and supervision,
2016/2017,Nova Scotia,Deferred custody and supervision,
2016/2017,Nova Scotia,Supervised probation,
2016/2017,Nova Scotia,Other community sentences,
2016/2017,New Brunswick,Total correctional services,223
2016/2017,New Brunswick,Pre-trial detention,71
2016/2017,New Brunswick,Secure custody,0
2016/2017,New Brunswick,Open custody,0
2016/2017,New Brunswick,Total community sentences,152
2016/2017,New Brunswick,Intensive support and supervision,
2016/2017,New Brunswick,Deferred custody and supervision,9
2016/2017,New Brunswick,Supervised probation,111
2016/2017,New Brunswick,Other community sentences,32
2016/2017,Quebec,Total correctional services,
2016/2017,Quebec,Pre-trial detention,
2016/2017,Quebec,Secure custody,
2016/2017,Quebec,Open custody,
2016/2017,Quebec,Total community sentences,
2016/2017,Quebec,Intensive support and supervision,
2016/2017,Quebec,Deferred custody and supervision,
2016/2017,Quebec,Supervised probation,
2016/2017,Quebec,Other community sentences,
2016/2017,Ontario,Total correctional services,3162
2016/2017,Ontario,Pre-trial detention,1315
2016/2017,Ontario,Secure custody,18
2016/2017,Ontario,Open custody,22
2016/2017,Ontario,Total community sentences,1807
2016/2017,Ontario,Intensive support and supervision,0
2016/2017,Ontario,Deferred custody and supervision,32
2016/2017,Ontario,Supervised probation,1765
2016/2017,Ontario,Other community sentences,10
2016/2017,Manitoba,Total correctional services,
2016/2017,Manitoba,Pre-trial detention,
2016/2017,Manitoba,Secure custody,
2016/2017,Manitoba,Open custody,
2016/2017,Manitoba,Total community sentences,
2016/2017,Manitoba,Intensive support and supervision,
2016/2017,Manitoba,Deferred custody and supervision,
2016/2017,Manitoba,Supervised probation,
2016/2017,Manitoba,Other community sentences,
2016/2017,Saskatchewan,Total correctional services,1259
2016/2017,Saskatchewan,Pre-trial detention,330
2016/2017,Saskatchewan,Secure custody,9
2016/2017,Saskatchewan,Open custody,13
2016/2017,Saskatchewan,Total community sentences,907
2016/2017,Saskatchewan,Intensive support and supervision,
2016/2017,Saskatchewan,Deferred custody and supervision,27
2016/2017,Saskatchewan,Supervised probation,595
2016/2017,Saskatchewan,Other community sentences,285
2016/2017,Alberta,Total correctional services,
2016/2017,Alberta,Pre-trial detention,
2016/2017,Alberta,Secure custody,
2016/2017,Alberta,Open custody,
2016/2017,Alberta,Total community sentences,
2016/2017,Alberta,Intensive support and supervision,
2016/2017,Alberta,Deferred custody and supervision,
2016/2017,Alberta,Supervised probation,
2016/2017,Alberta,Other community sentences,
2016/2017,British Columbia,Total correctional services,1081
2016/2017,British Columbia,Pre-trial detention,65
2016/2017,British Columbia,Secure custody,0
2016/2017,British Columbia,Open custody,3
2016/2017,British Columbia,Total community sentences,1013
2016/2017,British Columbia,Intensive support and supervision,19
2016/2017,British Columbia,Deferred custody and supervision,6
2016/2017,British Columbia,Supervised probation,163
2016/2017,British Columbia,Other community sentences,825
2016/2017,Yukon,Total correctional services,21
2016/2017,Yukon,Pre-trial detention,11
2016/2017,Yukon,Secure custody,0
2016/2017,Yukon,Open custody,0
2016/2017,Yukon,Total community sentences,10
2016/2017,Yukon,Intensive support and supervision,0
2016/2017,Yukon,Deferred custody and supervision,2
2016/2017,Yukon,Supervised probation,3
2016/2017,Yukon,Other community sentences,5
2016/2017,Northwest Territories,Total correctional services,21
2016/2017,Northwest Territories,Pre-trial detention,8
2016/2017,Northwest Territories,Secure custody,1
2016/2017,Northwest Territories,Open custody,0
2016/2017,Northwest Territories,Total community sentences,12
2016/2017,Northwest Territories,Intensive support and supervision,0
2016/2017,Northwest Territories,Deferred custody and supervision,0
2016/2017,Northwest Territories,Supervised probation,12
2016/2017,Northwest Territories,Other community sentences,
2016/2017,Nunavut,Total correctional services,61
2016/2017,Nunavut,Pre-trial detention,24
2016/2017,Nunavut,Secure custody,0
2016/2017,Nunavut,Open custody,0
2016/2017,Nunavut,Total community sentences,37
2016/2017,Nunavut,Intensive support and supervision,
2016/2017,Nunavut,Deferred custody and supervision,
2016/2017,Nunavut,Supervised probation,35
2016/2017,Nunavut,Other community sentences,2
2017/2018,Provinces and territories,Total correctional services,5902
2017/2018,Provinces and territories,Pre-trial detention,1697
2017/2018,Provinces and territories,Secure custody,41
2017/2018,Provinces and territories,Open custody,38
2017/2018,Provinces and territories,Total community sentences,4126
2017/2018,Provinces and territories,Intensive support and supervision,27
2017/2018,Provinces and territories,Deferred custody and supervision,103
2017/2018,Provinces and territories,Supervised probation,2777
2017/2018,Provinces and territories,Other community sentences,1219
2017/2018,Newfoundland and Labrador,Total correctional services,156
2017/2018,Newfoundland and Labrador,Pre-trial detention,9
2017/2018,Newfoundland and Labrador,Secure custody,2
2017/2018,Newfoundland and Labrador,Open custody,2
2017/2018,Newfoundland and Labrador,Total community sentences,143
2017/2018,Newfoundland and Labrador,Intensive support and supervision,0
2017/2018,Newfoundland and Labrador,Deferred custody and supervision,2
2017/2018,Newfoundland and Labrador,Supervised probation,138
2017/2018,Newfoundland and Labrador,Other community sentences,3
2017/2018,Prince Edward Island,Total correctional services,17
2017/2018,Prince Edward Island,Pre-trial detention,16
2017/2018,Prince Edward Island,Secure custody,1
2017/2018,Prince Edward Island,Open custody,0
2017/2018,Prince Edward Island,Total community sentences,0
2017/2018,Prince Edward Island,Intensive support and supervision,
2017/2018,Prince Edward Island,Deferred custody and supervision,
2017/2018,Prince Edward Island,Supervised probation,0
2017/2018,Prince Edward Island,Other community sentences,0
2017/2018,Nova Scotia,Total correctional services,246
2017/2018,Nova Scotia,Pre-trial detention,91
2017/2018,Nova Scotia,Secure custody,10
2017/2018,Nova Scotia,Open custody,0
2017/2018,Nova Scotia,Total community sentences,145
2017/2018,Nova Scotia,Intensive support and supervision,0
2017/2018,Nova Scotia,Deferred custody and supervision,10
2017/2018,Nova Scotia,Supervised probation,135
2017/2018,Nova Scotia,Other community sentences,0
2017/2018,New Brunswick,Total correctional services,229
2017/2018,New Brunswick,Pre-trial detention,85
2017/2018,New Brunswick,Secure custody,0
2017/2018,New Brunswick,Open custody,0
2017/2018,New Brunswick,Total community sentences,144
2017/2018,New Brunswick,Intensive support and supervision,
2017/2018,New Brunswick,Deferred custody and supervision,12
2017/2018,New Brunswick,Supervised probation,120
2017/2018,New Brunswick,Other community sentences,12
2017/2018,Quebec,Total correctional services,
2017/2018,Quebec,Pre-trial detention,
2017/2018,Quebec,Secure custody,
2017/2018,Quebec,Open custody,
2017/2018,Quebec,Total community sentences,
2017/2018,Quebec,Intensive support and supervision,
2017/2018,Quebec,Deferred custody and supervision,
2017/2018,Quebec,Supervised probation,
2017/2018,Quebec,Other community sentences,
2017/2018,Ontario,Total correctional services,2837
2017/2018,Ontario,Pre-trial detention,1124
2017/2018,Ontario,Secure custody,21
2017/2018,Ontario,Open custody,20
2017/2018,Ontario,Total community sentences,1672
2017/2018,Ontario,Intensive support and supervision,2
2017/2018,Ontario,Deferred custody and supervision,38
2017/2018,Ontario,Supervised probation,1619
2017/2018,Ontario,Other community sentences,13
2017/2018,Manitoba,Total correctional services,
2017/2018,Manitoba,Pre-trial detention,
2017/2018,Manitoba,Secure custody,
2017/2018,Manitoba,Open custody,
2017/2018,Manitoba,Total community sentences,
2017/2018,Manitoba,Intensive support and supervision,
2017/2018,Manitoba,Deferred custody and supervision,
2017/2018,Manitoba,Supervised probation,
2017/2018,Manitoba,Other community sentences,
2017/2018,Saskatchewan,Total correctional services,1245
2017/2018,Saskatchewan,Pre-trial detention,299
2017/2018,Saskatchewan,Secure custody,5
2017/2018,Saskatchewan,Open custody,8
2017/2018,Saskatchewan,Total community sentences,933
2017/2018,Saskatchewan,Intensive support and supervision,
2017/2018,Saskatchewan,Deferred custody and supervision,32
2017/2018,Saskatchewan,Supervised probation,576
2017/2018,Saskatchewan,Other community sentences,325
2017/2018,Alberta,Total correctional services,
2017/2018,Alberta,Pre-trial detention,
2017/2018,Alberta,Secure custody,
2017/2018,Alberta,Open custody,
2017/2018,Alberta,Total community sentences,
2017/2018,Alberta,Intensive support and supervision,
2017/2018,Alberta,Deferred custody and supervision,
2017/2018,Alberta,Supervised probation,
2017/2018,Alberta,Other community sentences,
2017/2018,British Columbia,Total correctional services,1098
2017/2018,British Columbia,Pre-trial detention,48
2017/2018,British Columbia,Secure custody,0
2017/2018,British Columbia,Open custody,6
2017/2018,British Columbia,Total community sentences,1044
2017/2018,British Columbia,Intensive support and supervision,25
2017/2018,British Columbia,Deferred custody and supervision,9
2017/2018,British Columbia,Supervised probation,144
2017/2018,British Columbia,Other community sentences,866
2017/2018,Yukon,Total correctional services,12
2017/2018,Yukon,Pre-trial detention,10
2017/2018,Yukon,Secure custody,1
2017/2018,Yukon,Open custody,1
2017/2018,Yukon,Total community sentences,0
2017/2018,Yukon,Intensive support and supervision,0
2017/2018,Yukon,Deferred custody and supervision,0
2017/2018,Yukon,Supervised probation,0
2017/2018,Yukon,Other community sentences,0
2017/2018,Northwest Territories,Total correctional services,24
2017/2018,Northwest Territories,Pre-trial detention,5
2017/2018,Northwest Territories,Secure custody,0
2017/2018,Northwest Territories,Open custody,1
2017/2018,Northwest Territories,Total community sentences,18
2017/2018,Northwest Territories,Intensive support and supervision,0
2017/2018,Northwest Territories,Deferred custody and supervision,0
2017/2018,Northwest Territories,Supervised probation,18
2017/2018,Northwest Territories,Other community sentences,
2017/2018,Nunavut,Total correctional services,38
2017/2018,Nunavut,Pre-trial detention,10
2017/2018,Nunavut,Secure custody,1
2017/2018,Nunavut,Open custody,0
2017/2018,Nunavut,Total community sentences,27
2017/2018,Nunavut,Intensive support and supervision,
2017/2018,Nunavut,Deferred custody and supervision,
2017/2018,Nunavut,Supervised probation,27
2017/2018,Nunavut,Other community sentences,0
2018/2019,Provinces and territories,Total correctional services,5178
2018/2019,Provinces and territories,Pre-trial detention,1379
2018/2019,Provinces and territories,Secure custody,29
2018/2019,Provinces and territories,Open custody,40
2018/2019,Provinces and territories,Total community sentences,3730
2018/2019,Provinces and territories,Intensive support and supervision,23
2018/2019,Provinces and territories,Deferred custody and supervision,80
2018/2019,Provinces and territories,Supervised probation,2438
2018/2019,Provinces and territories,Other community sentences,1189
2018/2019,Newfoundland and Labrador,Total correctional services,135
2018/2019,Newfoundland and Labrador,Pre-trial detention,26
2018/2019,Newfoundland and Labrador,Secure custody,1
2018/2019,Newfoundland and Labrador,Open custody,0
2018/2019,Newfoundland and Labrador,Total community sentences,108
2018/2019,Newfoundland and Labrador,Intensive support and supervision,0
2018/2019,Newfoundland and Labrador,Deferred custody and supervision,1
2018/2019,Newfoundland and Labrador,Supervised probation,98
2018/2019,Newfoundland and Labrador,Other community sentences,9
2018/2019,Prince Edward Island,Total correctional services,17
2018/2019,Prince Edward Island,Pre-trial detention,10
2018/2019,Prince Edward Island,Secure custody,2
2018/2019,Prince Edward Island,Open custody,5
2018/2019,Prince Edward Island,Total community sentences,0
2018/2019,Prince Edward Island,Intensive support and supervision,
2018/2019,Prince Edward Island,Deferred custody and supervision,
2018/2019,Prince Edward Island,Supervised probation,0
2018/2019,Prince Edward Island,Other community sentences,0
2018/2019,Nova Scotia,Total correctional services,200
2018/2019,Nova Scotia,Pre-trial detention,83
2018/2019,Nova Scotia,Secure custody,4
2018/2019,Nova Scotia,Open custody,0
2018/2019,Nova Scotia,Total community sentences,113
2018/2019,Nova Scotia,Intensive support and supervision,0
2018/2019,Nova Scotia,Deferred custody and supervision,11
2018/2019,Nova Scotia,Supervised probation,102
2018/2019,Nova Scotia,Other community sentences,0
2018/2019,New Brunswick,Total correctional services,212
2018/2019,New Brunswick,Pre-trial detention,70
2018/2019,New Brunswick,Secure custody,1
2018/2019,New Brunswick,Open custody,2
2018/2019,New Brunswick,Total community sentences,139
2018/2019,New Brunswick,Intensive support and supervision,
2018/2019,New Brunswick,Deferred custody and supervision,2
2018/2019,New Brunswick,Supervised probation,124
2018/2019,New Brunswick,Other community sentences,13
2018/2019,Quebec,Total correctional services,
2018/2019,Quebec,Pre-trial detention,
2018/2019,Quebec,Secure custody,
2018/2019,Quebec,Open custody,
2018/2019,Quebec,Total community sentences,
2018/2019,Quebec,Intensive support and supervision,
2018/2019,Quebec,Deferred custody and supervision,
2018/2019,Quebec,Supervised probation,
2018/2019,Quebec,Other community sentences,
2018/2019,Ontario,Total correctional services,2525
2018/2019,Ontario,Pre-trial detention,914
2018/2019,Ontario,Secure custody,17
2018/2019,Ontario,Open custody,28
2018/2019,Ontario,Total community sentences,1566
2018/2019,Ontario,Intensive support and supervision,0
2018/2019,Ontario,Deferred custody and supervision,49
2018/2019,Ontario,Supervised probation,1507
2018/2019,Ontario,Other community sentences,10
2018/2019,Manitoba,Total correctional services,
2018/2019,Manitoba,Pre-trial detention,
2018/2019,Manitoba,Secure custody,
2018/2019,Manitoba,Open custody,
2018/2019,Manitoba,Total community sentences,
2018/2019,Manitoba,Intensive support and supervision,
2018/2019,Manitoba,Deferred custody and supervision,
2018/2019,Manitoba,Supervised probation,
2018/2019,Manitoba,Other community sentences,
2018/2019,Saskatchewan,Total correctional services,959
2018/2019,Saskatchewan,Pre-trial detention,213
2018/2019,Saskatchewan,Secure custody,3
2018/2019,Saskatchewan,Open custody,5
2018/2019,Saskatchewan,Total community sentences,738
2018/2019,Saskatchewan,Intensive support and supervision,
2018/2019,Saskatchewan,Deferred custody and supervision,16
2018/2019,Saskatchewan,Supervised probation,416
2018/2019,Saskatchewan,Other community sentences,306
2018/2019,Alberta,Total correctional services,
2018/2019,Alberta,Pre-trial detention,
2018/2019,Alberta,Secure custody,
2018/2019,Alberta,Open custody,
2018/2019,Alberta,Total community sentences,
2018/2019,Alberta,Intensive support and supervision,
2018/2019,Alberta,Deferred custody and supervision,
2018/2019,Alberta,Supervised probation,
2018/2019,Alberta,Other community sentences,
2018/2019,British Columbia,Total correctional services,1067
2018/2019,British Columbia,Pre-trial detention,43
2018/2019,British Columbia,Secure custody,0
2018/2019,British Columbia,Open custody,0
2018/2019,British Columbia,Total community sentences,1024
2018/2019,British Columbia,Intensive support and supervision,23
2018/2019,British Columbia,Deferred custody and supervision,1
2018/2019,British Columbia,Supervised probation,150
2018/2019,British Columbia,Other community sentences,850
2018/2019,Yukon,Total correctional services,0
2018/2019,Yukon,Pre-trial detention,0
2018/2019,Yukon,Secure custody,0
2018/2019,Yukon,Open custody,0
2018/2019,Yukon,Total community sentences,0
2018/2019,Yukon,Intensive support and supervision,0
2018/2019,Yukon,Deferred custody and supervision,0
2018/2019,Yukon,Supervised probation,0
2018/2019,Yukon,Other community sentences,0
2018/2019,Northwest Territories,Total correctional services,19
2018/2019,Northwest Territories,Pre-trial detention,7
2018/2019,Northwest Territories,Secure custody,0
2018/2019,Northwest Territories,Open custody,0
2018/2019,Northwest Territories,Total community sentences,12
2018/2019,Northwest Territories,Intensive support and supervision,0
2018/2019,Northwest Territories,Deferred custody and supervision,0
2018/2019,Northwest Territories,Supervised probation,12
2018/2019,Northwest Territories,Other community sentences,
2018/2019,Nunavut,Total correctional services,44
2018/2019,Nunavut,Pre-trial detention,13
2018/2019,Nunavut,Secure custody,1
2018/2019,Nunavut,Open custody,0
2018/2019,Nunavut,Total community sentences,30
2018/2019,Nunavut,Intensive support and supervision,
2018/2019,Nunavut,Deferred custody and supervision,
2018/2019,Nunavut,Supervised probation,29
2018/2019,Nunavut,Other community sentences,1
2019/2020,Provinces and territories,Total correctional services,7039
2019/2020,Provinces and territories,Pre-trial detention,1332
2019/2020,Provinces and territories,Secure custody,63
2019/2020,Provinces and territories,Open custody,47
2019/2020,Provinces and territories,Total community sentences,5597
2019/2020,Provinces and territories,Intensive support and supervision,20
2019/2020,Provinces and territories,Deferred custody and supervision,129
2019/2020,Provinces and territories,Supervised probation,2946
2019/2020,Provinces and territories,Other community sentences,2502
