"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997/1998","British Columbia","2016A000259","Probation, community supervision","Persons","249","units","0","v32164229","10.8","4258.5","","","","1"
"1997/1998","British Columbia","2016A000259","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164230","10.9","","..","","","1"
"1997/1998","British Columbia","2016A000259","Deferred custody, community supervision","Persons","249","units","0","v32164231","10.10","","..","","","1"
"1997/1998","British Columbia","2016A000259","Intensive support and supervision, community supervision","Persons","249","units","0","v32164232","10.11","","..","","","1"
"1997/1998","British Columbia","2016A000259","Probation rate per 10,000 young persons","Rate","257","units","0","v32164233","10.12","134.88","","","","2"
"1997/1998","Yukon","2016A000260","Total actual-in count","Persons","249","units","0","v32164234","11.1","18.7","","","","1"
"1997/1998","Yukon","2016A000260","Total sentenced custody, actual-in count","Persons","249","units","0","v32164235","11.2","12.9","","","","1"
"1997/1998","Yukon","2016A000260","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164236","11.3","7.6","","","","1"
"1997/1998","Yukon","2016A000260","Sentenced open custody, actual-in count","Persons","249","units","0","v32164237","11.4","5.3","","","","1"
"1997/1998","Yukon","2016A000260","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164238","11.5","5.8","","","","1"
"1997/1998","Yukon","2016A000260","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164239","11.6","62.64","","","","2"
"1997/1998","Yukon","2016A000260","Total community supervision count","Persons","249","units","0","v32164240","11.7","133.0","","","","1"
"1997/1998","Yukon","2016A000260","Probation, community supervision","Persons","249","units","0","v32164241","11.8","133.0","","","","1"
"1997/1998","Yukon","2016A000260","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164242","11.9","","..","","","1"
"1997/1998","Yukon","2016A000260","Deferred custody, community supervision","Persons","249","units","0","v32164243","11.10","","..","","","1"
"1997/1998","Yukon","2016A000260","Intensive support and supervision, community supervision","Persons","249","units","0","v32164244","11.11","","..","","","1"
"1997/1998","Yukon","2016A000260","Probation rate per 10,000 young persons","Rate","257","units","0","v32164245","11.12","445.11","","","","2"
"1997/1998","Northwest Territories including Nunavut","","Total actual-in count","Persons","249","units","0","v32164246","12.1","69.5","","","t","1"
"1997/1998","Northwest Territories including Nunavut","","Total sentenced custody, actual-in count","Persons","249","units","0","v32164247","12.2","65.1","","","t","1"
"1997/1998","Northwest Territories including Nunavut","","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164248","12.3","25.6","","","t","1"
"1997/1998","Northwest Territories including Nunavut","","Sentenced open custody, actual-in count","Persons","249","units","0","v32164249","12.4","39.5","","","t","1"
"1997/1998","Northwest Territories including Nunavut","","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164250","12.5","4.4","","","t","1"
"1997/1998","Northwest Territories including Nunavut","","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164251","12.6","98.40","","","t","2"
"1997/1998","Northwest Territories","2016A000261","Total actual-in count","Persons","249","units","0","v32164252","13.1","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Total sentenced custody, actual-in count","Persons","249","units","0","v32164253","13.2","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164254","13.3","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Sentenced open custody, actual-in count","Persons","249","units","0","v32164255","13.4","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164256","13.5","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164257","13.6","","..","","","2"
"1997/1998","Northwest Territories","2016A000261","Total community supervision count","Persons","249","units","0","v44182202","13.7","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Probation, community supervision","Persons","249","units","0","v44182203","13.8","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Community portion of custody sentence, community supervision","Persons","249","units","0","v44182204","13.9","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Deferred custody, community supervision","Persons","249","units","0","v44182205","13.10","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Intensive support and supervision, community supervision","Persons","249","units","0","v44182206","13.11","","..","","","1"
"1997/1998","Northwest Territories","2016A000261","Probation rate per 10,000 young persons","Rate","257","units","0","v44182207","13.12","","..","","","2"
"1997/1998","Nunavut","2016A000262","Total actual-in count","Persons","249","units","0","v32164258","14.1","","..","","","1"
"1997/1998","Nunavut","2016A000262","Total sentenced custody, actual-in count","Persons","249","units","0","v32164259","14.2","","..","","","1"
"1997/1998","Nunavut","2016A000262","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164260","14.3","","..","","","1"
"1997/1998","Nunavut","2016A000262","Sentenced open custody, actual-in count","Persons","249","units","0","v32164261","14.4","","..","","","1"
"1997/1998","Nunavut","2016A000262","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164262","14.5","","..","","","1"
"1997/1998","Nunavut","2016A000262","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164263","14.6","","..","","","2"
"1997/1998","Nunavut","2016A000262","Total community supervision count","Persons","249","units","0","v32164264","14.7","","..","","","1"
"1997/1998","Nunavut","2016A000262","Probation, community supervision","Persons","249","units","0","v32164265","14.8","","..","","","1"
"1997/1998","Nunavut","2016A000262","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164266","14.9","","..","","","1"
"1997/1998","Nunavut","2016A000262","Probation rate per 10,000 young persons","Rate","257","units","0","v32164267","14.12","","..","","","2"
"1998/1999","Provinces and Territories","2016A000011124","Total actual-in count","Persons","249","units","0","v65927052","15.1","4838.7","","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Total sentenced custody, actual-in count","Persons","249","units","0","v65927053","15.2","3731.0","","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Sentenced secure custody, actual-in count","Persons","249","units","0","v65927054","15.3","1753.7","","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Sentenced open custody, actual-in count","Persons","249","units","0","v65927055","15.4","1977.3","","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v65927056","15.5","1107.7","","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Incarceration rates per 10,000 young persons","Rate","257","units","0","v65927057","15.6","19.66","","","","2"
"1998/1999","Provinces and Territories","2016A000011124","Total community supervision count","Persons","249","units","0","v65927058","15.7","38318.7","","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Probation, community supervision","Persons","249","units","0","v65927059","15.8","38318.7","","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Community portion of custody sentence, community supervision","Persons","249","units","0","v65927060","15.9","","..","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Deferred custody, community supervision","Persons","249","units","0","v65927061","15.10","","..","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Intensive support and supervision, community supervision","Persons","249","units","0","v65927062","15.11","","..","","","1"
"1998/1999","Provinces and Territories","2016A000011124","Probation rate per 10,000 young persons","Rate","257","units","0","v65927063","15.12","156.12","","","","2"
"1998/1999","Newfoundland and Labrador","2016A000210","Total actual-in count","Persons","249","units","0","v32164121","1.1","113.8","","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Total sentenced custody, actual-in count","Persons","249","units","0","v32164122","1.2","100.5","","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164123","1.3","49.5","","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Sentenced open custody, actual-in count","Persons","249","units","0","v32164124","1.4","50.9","","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164125","1.5","13.4","","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164126","1.6","22.82","","","","2"
"1998/1999","Newfoundland and Labrador","2016A000210","Total community supervision count","Persons","249","units","0","v32164127","1.7","1084.9","","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Probation, community supervision","Persons","249","units","0","v32164128","1.8","1084.9","","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164129","1.9","","..","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Deferred custody, community supervision","Persons","249","units","0","v32164130","1.10","","..","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Intensive support and supervision, community supervision","Persons","249","units","0","v32164131","1.11","","..","","","1"
"1998/1999","Newfoundland and Labrador","2016A000210","Probation rate per 10,000 young persons","Rate","257","units","0","v32164132","1.12","217.52","","","","2"
"1998/1999","Prince Edward Island","2016A000211","Total actual-in count","Persons","249","units","0","v32164133","2.1","23.2","","","","1"
"1998/1999","Prince Edward Island","2016A000211","Total sentenced custody, actual-in count","Persons","249","units","0","v32164134","2.2","20.3","","","","1"
"1998/1999","Prince Edward Island","2016A000211","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164135","2.3","11.1","","","","1"
"1998/1999","Prince Edward Island","2016A000211","Sentenced open custody, actual-in count","Persons","249","units","0","v32164136","2.4","9.2","","","","1"
"1998/1999","Prince Edward Island","2016A000211","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164137","2.5","2.8","","","","1"
"1998/1999","Prince Edward Island","2016A000211","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164138","2.6","18.92","","","","2"
"1998/1999","Prince Edward Island","2016A000211","Total community supervision count","Persons","249","units","0","v32164139","2.7","272.3","","","","1"
"1998/1999","Prince Edward Island","2016A000211","Probation, community supervision","Persons","249","units","0","v32164140","2.8","272.3","","","","1"
"1998/1999","Prince Edward Island","2016A000211","Community portion of custody sentence, community supervision","Persons","249","units","0","v32164141","2.9","","..","","","1"
"1998/1999","Prince Edward Island","2016A000211","Deferred custody, community supervision","Persons","249","units","0","v32164142","2.10","","..","","","1"
"1998/1999","Prince Edward Island","2016A000211","Intensive support and supervision, community supervision","Persons","249","units","0","v32164143","2.11","","..","","","1"
"1998/1999","Prince Edward Island","2016A000211","Probation rate per 10,000 young persons","Rate","257","units","0","v32164144","2.12","222.50","","","","2"
"1998/1999","Nova Scotia","2016A000212","Total actual-in count","Persons","249","units","0","v32164145","3.1","146.9","","","","1"
"1998/1999","Nova Scotia","2016A000212","Total sentenced custody, actual-in count","Persons","249","units","0","v32164146","3.2","122.3","","","","1"
"1998/1999","Nova Scotia","2016A000212","Sentenced secure custody, actual-in count","Persons","249","units","0","v32164147","3.3","20.8","","","","1"
"1998/1999","Nova Scotia","2016A000212","Sentenced open custody, actual-in count","Persons","249","units","0","v32164148","3.4","101.5","","","","1"
"1998/1999","Nova Scotia","2016A000212","Pre-trial detention and other temporary detention, actual-in count","Persons","249","units","0","v32164149","3.5","24.6","","","","1"
"1998/1999","Nova Scotia","2016A000212","Incarceration rates per 10,000 young persons","Rate","257","units","0","v32164150","3.6","19.52","","","","2"
"1998/1999","Nova Scotia","2016A000212","Total community supervision count","Persons","249","units","0","v32164151","3.7","1340.2","","","","1"
"1998/1999","Nova Scotia","2016A000212","Probation, community supervision","Persons","249","units","0","v32164152","3.8","1340.2","","","","1"
