REF_DATE,GEO,DGUID,Custodial and community supervision,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Manitoba,2016A000246,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164192,7.5,181.6,,,,1
2012/2013,Manitoba,2016A000246,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164193,7.6,30.19,,,,2
2012/2013,Manitoba,2016A000246,Total community supervision count,Persons,249,units,0,v32164194,7.7,1715,,,,1
2012/2013,Manitoba,2016A000246,"Probation, community supervision",Persons,249,units,0,v32164195,7.8,1595.6,,,,1
2012/2013,Manitoba,2016A000246,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164196,7.9,66.7,,,,1
2012/2013,Manitoba,2016A000246,"Deferred custody, community supervision",Persons,249,units,0,v32164197,7.1,52.8,,,,1
2012/2013,Manitoba,2016A000246,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164198,7.12,158.57,,,,2
2012/2013,Saskatchewan,2016A000247,Total actual-in count,Persons,249,units,0,v32164199,8.1,169,,,,1
2012/2013,Saskatchewan,2016A000247,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164200,8.2,111.8,,,,1
2012/2013,Saskatchewan,2016A000247,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164201,8.3,64.5,,,,1
2012/2013,Saskatchewan,2016A000247,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164202,8.4,47.3,,,,1
2012/2013,Saskatchewan,2016A000247,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164203,8.5,57.2,,,,1
2012/2013,Saskatchewan,2016A000247,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164204,8.6,20.21,,,,2
2012/2013,Saskatchewan,2016A000247,Total community supervision count,Persons,249,units,0,v32164205,8.7,1169.1,,,,1
2012/2013,Saskatchewan,2016A000247,"Probation, community supervision",Persons,249,units,0,v32164206,8.8,1033.3,,,,1
2012/2013,Saskatchewan,2016A000247,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164207,8.9,65.2,,,,1
2012/2013,Saskatchewan,2016A000247,"Deferred custody, community supervision",Persons,249,units,0,v32164208,8.1,70.7,,,,1
2012/2013,Saskatchewan,2016A000247,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164209,8.12,123.55,,,,2
2012/2013,Alberta,2016A000248,Total actual-in count,Persons,249,units,0,v32164210,9.1,164.9,,,,1
2012/2013,Alberta,2016A000248,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164211,9.2,72.8,,,,1
2012/2013,Alberta,2016A000248,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164212,9.3,50.9,,,,1
2012/2013,Alberta,2016A000248,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164213,9.4,21.9,,,,1
2012/2013,Alberta,2016A000248,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164214,9.5,92.1,,,,1
2012/2013,Alberta,2016A000248,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164215,9.6,5.88,,,,2
2012/2013,Alberta,2016A000248,Total community supervision count,Persons,249,units,0,v32164216,9.7,1475.6,,,,1
2012/2013,Alberta,2016A000248,"Probation, community supervision",Persons,249,units,0,v32164217,9.8,1338.3,,,,1
2012/2013,Alberta,2016A000248,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164218,9.9,63.7,,,,1
2012/2013,Alberta,2016A000248,"Deferred custody, community supervision",Persons,249,units,0,v32164219,9.1,58.8,,,,1
2012/2013,Alberta,2016A000248,"Intensive support and supervision, community supervision",Persons,249,units,0,v32164220,9.11,14.8,,,,1
2012/2013,Alberta,2016A000248,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164221,9.12,47.71,,,,2
2012/2013,British Columbia,2016A000259,Total actual-in count,Persons,249,units,0,v32164222,10.1,85.5,,,,1
2012/2013,British Columbia,2016A000259,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164223,10.2,43.6,,,,1
2012/2013,British Columbia,2016A000259,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164224,10.3,17.3,,,,1
2012/2013,British Columbia,2016A000259,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164225,10.4,26.3,,,,1
2012/2013,British Columbia,2016A000259,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164226,10.5,41.6,,,,1
2012/2013,British Columbia,2016A000259,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164227,10.6,2.76,,,,2
2012/2013,British Columbia,2016A000259,Total community supervision count,Persons,249,units,0,v32164228,10.7,825,,,,1
2012/2013,British Columbia,2016A000259,"Probation, community supervision",Persons,249,units,0,v32164229,10.8,473,,,,1
2012/2013,British Columbia,2016A000259,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164230,10.9,22.3,,,,1
2012/2013,British Columbia,2016A000259,"Deferred custody, community supervision",Persons,249,units,0,v32164231,10.1,48.3,,,,1
2012/2013,British Columbia,2016A000259,"Intensive support and supervision, community supervision",Persons,249,units,0,v32164232,10.11,281.4,,,,1
2012/2013,British Columbia,2016A000259,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164233,10.12,15.25,,,,2
2012/2013,Yukon,2016A000260,Total actual-in count,Persons,249,units,0,v32164234,11.1,4.1,,,,1
2012/2013,Yukon,2016A000260,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164235,11.2,1,,,,1
2012/2013,Yukon,2016A000260,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164236,11.3,0.4,,,,1
2012/2013,Yukon,2016A000260,"Sentenced open custody, actual-in count",Persons,249,units,0,v32164237,11.4,0.6,,,,1
2012/2013,Yukon,2016A000260,"Pre-trial detention and other temporary detention, actual-in count",Persons,249,units,0,v32164238,11.5,2.9,,,,1
2012/2013,Yukon,2016A000260,"Incarceration rates per 10,000 young persons",Rate,257,units,0,v32164239,11.6,16.08,,,,2
2012/2013,Yukon,2016A000260,Total community supervision count,Persons,249,units,0,v32164240,11.7,26,,,,1
2012/2013,Yukon,2016A000260,"Probation, community supervision",Persons,249,units,0,v32164241,11.8,23,,,,1
2012/2013,Yukon,2016A000260,"Community portion of custody sentence, community supervision",Persons,249,units,0,v32164242,11.9,1.8,,,,1
2012/2013,Yukon,2016A000260,"Deferred custody, community supervision",Persons,249,units,0,v32164243,11.1,1.3,,,,1
2012/2013,Yukon,2016A000260,"Intensive support and supervision, community supervision",Persons,249,units,0,v32164244,11.11,0,,,,1
2012/2013,Yukon,2016A000260,"Probation rate per 10,000 young persons",Rate,257,units,0,v32164245,11.12,91.09,,,,2
2012/2013,Northwest Territories,2016A000261,Total actual-in count,Persons,249,units,0,v32164252,13.1,5.2,,,,1
2012/2013,Northwest Territories,2016A000261,"Total sentenced custody, actual-in count",Persons,249,units,0,v32164253,13.2,3.7,,,,1
2012/2013,Northwest Territories,2016A000261,"Sentenced secure custody, actual-in count",Persons,249,units,0,v32164254,13.3,2.3,,,,1
