REF_DATE,GEO,DGUID,Admissions and releases,Correctional services,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Quebec,2016A000224,Youth releases,Pre-trial detention,Number,223,units,0,v41501091,6.2.2,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Provincial director remand,Number,223,units,0,v41501092,6.2.3,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Secure custody,Number,223,units,0,v43732552,6.2.4,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Custody and supervision (secure),Number,223,units,0,v43732553,6.2.5,,..,,t,0
2012/2013,Quebec,2016A000224,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v43732554,6.2.6,,..,,t,0
2012/2013,Quebec,2016A000224,Youth releases,Open custody,Number,223,units,0,v43732555,6.2.7,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Custody and supervision (open),Number,223,units,0,v43732556,6.2.8,,..,,t,0
2012/2013,Quebec,2016A000224,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v43732557,6.2.9,,..,,t,0
2012/2013,Quebec,2016A000224,Youth releases,Total community sentences,Number,223,units,0,v79960456,6.2.10,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v79960457,6.2.11,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Intensive support and supervision,Number,223,units,0,v79960458,6.2.12,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Deferred custody and supervision,Number,223,units,0,v79960459,6.2.13,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Supervised probation,Number,223,units,0,v79960460,6.2.14,,..,,,0
2012/2013,Quebec,2016A000224,Youth releases,Other community sentences,Number,223,units,0,v79960461,6.2.15,,..,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Total correctional services,Number,223,units,0,v32445743,7.1.1,11566,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Pre-trial detention,Number,223,units,0,v32445744,7.1.2,4534,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Provincial director remand,Number,223,units,0,v43732558,7.1.3,,..,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Secure custody,Number,223,units,0,v32445745,7.1.4,460,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445746,7.1.5,,..,,t,0
2012/2013,Ontario,2016A000235,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445747,7.1.6,,..,,t,0
2012/2013,Ontario,2016A000235,Youth admissions,Open custody,Number,223,units,0,v32445748,7.1.7,473,,,,0
2012/2013,Ontario,2016A000235,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445749,7.1.8,,..,,t,0
