REF_DATE,GEO,DGUID,Initial entry status,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,Yukon,2016A000260,Custody and supervision (secure),Number,223,units,0,v32445515,14.4,,..,,t,0
2012/2013,Yukon,2016A000260,Young Offenders Act (YOA) (secure),Number,223,units,0,v43735729,14.5,,..,,t,0
2012/2013,Yukon,2016A000260,Open custody,Number,223,units,0,v32445516,14.6,0,,,,0
2012/2013,Yukon,2016A000260,Custody and supervision (open),Number,223,units,0,v32445517,14.7,,..,,t,0
2012/2013,Yukon,2016A000260,Young Offenders Act (YOA) (open),Number,223,units,0,v43735730,14.8,,..,,t,0
2012/2013,Yukon,2016A000260,Total community sentences,Number,223,units,0,v32445518,14.9,13,,,,0
2012/2013,Yukon,2016A000260,Intensive support and supervision,Number,223,units,0,v43735731,14.1,0,,,,0
2012/2013,Yukon,2016A000260,Deferred custody and supervision,Number,223,units,0,v43735732,14.11,0,,,,0
2012/2013,Yukon,2016A000260,Supervised probation,Number,223,units,0,v32445519,14.12,9,,,,0
2012/2013,Yukon,2016A000260,Other community sentences,Number,223,units,0,v32445520,14.13,4,,,,0
2012/2013,Northwest Territories,2016A000261,Total correctional services,Number,223,units,0,v32445524,16.1,36,,,,0
2012/2013,Northwest Territories,2016A000261,Pre-trial detention,Number,223,units,0,v32445525,16.2,5,,,,0
2012/2013,Northwest Territories,2016A000261,Secure custody,Number,223,units,0,v32445526,16.3,0,,,,0
2012/2013,Northwest Territories,2016A000261,Custody and supervision (secure),Number,223,units,0,v32445527,16.4,,..,,t,0
2012/2013,Northwest Territories,2016A000261,Young Offenders Act (YOA) (secure),Number,223,units,0,v41443610,16.5,,..,,t,0
2012/2013,Northwest Territories,2016A000261,Open custody,Number,223,units,0,v32445528,16.6,0,,,,0
2012/2013,Northwest Territories,2016A000261,Custody and supervision (open),Number,223,units,0,v32445529,16.7,,..,,t,0
2012/2013,Northwest Territories,2016A000261,Young Offenders Act (YOA) (open),Number,223,units,0,v41443613,16.8,,..,,t,0
2012/2013,Northwest Territories,2016A000261,Total community sentences,Number,223,units,0,v32445530,16.9,31,,,,0
2012/2013,Northwest Territories,2016A000261,Intensive support and supervision,Number,223,units,0,v41443611,16.1,0,,,,0
2012/2013,Northwest Territories,2016A000261,Deferred custody and supervision,Number,223,units,0,v32445531,16.11,0,,,,0
2012/2013,Northwest Territories,2016A000261,Supervised probation,Number,223,units,0,v43735733,16.12,31,,,,0
2012/2013,Northwest Territories,2016A000261,Other community sentences,Number,223,units,0,v41443612,16.13,,..,,,0
2012/2013,Nunavut,2016A000262,Total correctional services,Number,223,units,0,v32445532,17.1,62,,,,0
2012/2013,Nunavut,2016A000262,Pre-trial detention,Number,223,units,0,v32445533,17.2,9,,,,0
2012/2013,Nunavut,2016A000262,Secure custody,Number,223,units,0,v32445534,17.3,1,,,,0
2012/2013,Nunavut,2016A000262,Custody and supervision (secure),Number,223,units,0,v32445535,17.4,,..,,t,0
2012/2013,Nunavut,2016A000262,Young Offenders Act (YOA) (secure),Number,223,units,0,v43735734,17.5,,..,,t,0
2012/2013,Nunavut,2016A000262,Open custody,Number,223,units,0,v32445536,17.6,3,,,,0
2012/2013,Nunavut,2016A000262,Custody and supervision (open),Number,223,units,0,v32445537,17.7,,..,,t,0
